energy intensity
7.082526799999999639e+03 -3.894605829067279874e-04
7.084924600000000282e+03 2.105394170932060134e-04
7.087322299999999814e+03 3.105394170931950271e-04
7.089719600000000355e+03 -6.894605829066949472e-04
7.092117400000000089e+03 -8.946058290676059399e-05
7.094515099999999620e+03 1.053941709322839937e-05
7.096912900000000263e+03 6.105394170931619869e-04
7.099310499999999593e+03 7.105394170931509734e-04
7.101707999999999629e+03 2.105394170932060134e-04
7.104104800000000068e+03 -2.389460582906730197e-03
7.106503099999999904e+03 -1.894605829067499872e-04
7.108903000000000247e+03 6.910539417093360115e-03
7.111304000000000087e+03 1.711053941709310064e-02
7.113714799999999741e+03 5.741053941709330088e-02
7.116114599999999882e+03 6.391053941709330666e-02
7.118164700000000266e+03 1.009105394170930065e-01
7.119149199999999837e+03 1.789105394170930063e-01
7.119982299999999668e+03 2.826105394170930207e-01
7.120422199999999975e+03 4.055105394170929745e-01
7.120861200000000281e+03 5.261105394170929594e-01
7.121692399999999907e+03 6.238105394170929685e-01
7.122115899999999783e+03 6.967105394170930444e-01
7.122940999999999804e+03 7.760105394170929705e-01
7.124165100000000166e+03 8.532105394170930168e-01
7.125153400000000147e+03 9.426105394170930518e-01
7.125903900000000249e+03 1.038210539417089961e+00
7.126740700000000288e+03 1.153110539417089964e+00
7.128488199999999779e+03 1.242210539417089921e+00
7.130889900000000125e+03 1.254610539417090109e+00
7.133277200000000448e+03 1.223110539417090026e+00
7.135656600000000253e+03 1.167510539417089932e+00
7.138040200000000368e+03 1.124710539417089983e+00
7.140426499999999578e+03 1.089910539417090041e+00
7.142814000000000306e+03 1.059010539417089891e+00
7.145198999999999614e+03 1.020510539417089912e+00
7.147584399999999732e+03 9.830105394170930433e-01
7.149970800000000054e+03 9.488105394170930351e-01
7.152361299999999574e+03 9.270105394170929936e-01
7.154755600000000413e+03 9.169105394170929957e-01
7.157153599999999642e+03 9.180105394170929856e-01
7.159552099999999882e+03 9.208105394170930103e-01
7.161953400000000329e+03 9.321105394170929870e-01
7.164354800000000068e+03 9.434105394170929637e-01
7.166756599999999708e+03 9.564105394170929753e-01
7.169157400000000052e+03 9.661105394170930172e-01
7.171559599999999591e+03 9.801105394170930296e-01
7.173963099999999940e+03 9.978105394170929676e-01
7.176363199999999779e+03 1.005410539417090021e+00
7.178761300000000119e+03 1.007110539417090056e+00
7.181160399999999754e+03 1.011510539417090015e+00
7.183559599999999591e+03 1.016410539417089920e+00
7.185959399999999732e+03 1.022910539417090092e+00
7.188355800000000272e+03 1.019210539417090056e+00
7.190753399999999601e+03 1.019310539417090045e+00
7.193149900000000343e+03 1.015610539417090008e+00
7.195546599999999671e+03 1.013010539417090072e+00
7.197943599999999606e+03 1.010910539417090082e+00
7.200339799999999741e+03 1.006710539417090100e+00
7.202736899999999878e+03 1.005210539417090043e+00
7.205133200000000215e+03 1.001010539417090062e+00
7.207530999999999949e+03 1.001610539417089996e+00
7.209928700000000390e+03 1.001710539417089985e+00
7.212326500000000124e+03 1.002310539417089919e+00
7.214723100000000159e+03 9.992105394170930355e-01
7.217119099999999889e+03 9.944105394170930090e-01
7.219515900000000329e+03 9.918105394170929623e-01
7.221912299999999959e+03 9.882105394170930257e-01
7.224310000000000400e+03 9.882105394170930257e-01
7.226707599999999729e+03 9.883105394170930147e-01
7.229105300000000170e+03 9.884105394170930037e-01
7.231502199999999903e+03 9.863105394170930129e-01
7.233899699999999939e+03 9.859105394170939451e-01
7.236298200000000179e+03 9.886105394170929817e-01
7.238695899999999710e+03 9.887105394170929706e-01
7.241093899999999849e+03 9.899105394170929495e-01
7.243493099999999686e+03 9.948105394170929650e-01
7.245890900000000329e+03 9.954105394170930099e-01
7.248088800000000447e+03 9.955105394170929989e-01
