energy intensity
6.860300000000000182e+03 -1.905090500000000079e-03
6.870270000000000437e+03 3.469895099999999871e-02
6.880260000000000218e+03 2.044755200000000078e-02
6.890289999999999964e+03 1.639469899999999869e-02
6.900350000000000364e+03 1.122504600000000068e-02
6.910329999999999927e+03 6.168939400000000156e-03
6.920329999999999927e+03 1.211184099999999993e-02
6.930260000000000218e+03 5.682088400000000206e-03
6.940319999999999709e+03 2.881762600000000157e-03
6.950310000000000400e+03 1.222306199999999895e-03
6.960319999999999709e+03 -2.474593699999999997e-03
6.970369999999999891e+03 -4.591353200000000342e-03
6.980329999999999927e+03 -4.607633199999999936e-03
6.990310000000000400e+03 -7.722293100000000333e-03
7.000329999999999927e+03 -5.423131900000000179e-03
7.010270000000000437e+03 -5.641052700000000371e-03
7.020350000000000364e+03 -5.782043300000000267e-03
7.030340000000000146e+03 -8.875870799999999519e-03
7.040359999999999673e+03 -4.466974700000000097e-03
7.050300000000000182e+03 -5.573837199999999957e-03
7.060260000000000218e+03 -3.836235400000000042e-03
7.061319999999999709e+03 -5.883055800000000155e-03
7.061909999999999854e+03 -5.265120600000000074e-03
7.062489999999999782e+03 -3.370236100000000012e-03
7.063079999999999927e+03 3.331613900000000177e-04
7.063670000000000073e+03 -2.045701799999999869e-03
7.064260000000000218e+03 -1.798300500000000026e-03
7.064850000000000364e+03 -2.945835400000000083e-03
7.065430000000000291e+03 -4.435892000000000307e-03
7.066020000000000437e+03 -4.824639399999999627e-03
7.066609999999999673e+03 -7.663228700000000466e-04
7.067199999999999818e+03 -1.711495499999999897e-03
7.067789999999999964e+03 -3.787636300000000143e-03
7.068369999999999891e+03 -2.179535900000000113e-03
7.068960000000000036e+03 -1.662220899999999934e-03
7.069550000000000182e+03 -2.333600300000000013e-03
7.070140000000000327e+03 -4.305485700000000193e-03
7.070729999999999563e+03 -2.302042299999999906e-03
7.071319999999999709e+03 -4.869854600000000054e-04
7.071909999999999854e+03 -1.101531800000000050e-03
7.072500000000000000e+03 -2.641409400000000081e-03
7.073079999999999927e+03 -3.525011199999999838e-03
7.073670000000000073e+03 -3.112734399999999950e-03
7.074260000000000218e+03 -2.303593400000000183e-03
7.074850000000000364e+03 -3.737049599999999979e-04
7.075439999999999600e+03 -2.032716400000000086e-03
7.076029999999999745e+03 -8.312488700000000277e-04
7.076619999999999891e+03 -3.308572400000000212e-03
7.077210000000000036e+03 -2.207242900000000192e-03
7.077800000000000182e+03 -9.382156100000000037e-04
7.078390000000000327e+03 -1.770097800000000046e-03
7.078979999999999563e+03 -1.601952200000000088e-03
7.079569999999999709e+03 -2.326257799999999817e-03
7.080159999999999854e+03 -3.404146299999999924e-03
7.080750000000000000e+03 -1.533577400000000134e-04
7.081340000000000146e+03 -5.959812400000000015e-04
7.081939999999999600e+03 -3.745865699999999937e-03
7.082529999999999745e+03 -1.946580999999999962e-03
7.083119999999999891e+03 -6.931989400000000516e-04
7.083710000000000036e+03 6.567703300000000521e-05
7.084300000000000182e+03 7.883262799999999661e-04
7.084890000000000327e+03 -1.435531799999999929e-03
7.085479999999999563e+03 1.563961900000000087e-03
7.086069999999999709e+03 3.571836200000000176e-03
7.086659999999999854e+03 5.611779199999999534e-04
