energy intensity
7.082332999999999629e+03 -2.150296226542970093e-04
7.084752499999999600e+03 -3.150296226542860230e-04
7.087171999999999571e+03 -2.150296226542970093e-04
7.089591400000000249e+03 1.849703773457699865e-04
7.092010900000000220e+03 3.284970377345760011e-03
7.094430400000000191e+03 4.384970377345750320e-03
7.096849900000000162e+03 4.184970377345769744e-03
7.099269299999999930e+03 6.584970377345730069e-03
7.101688799999999901e+03 8.284970377345759682e-03
7.104108299999999872e+03 1.098497037734580059e-02
7.106527799999999843e+03 1.538497037734579999e-02
7.108947299999999814e+03 2.208497037734579935e-02
7.110963499999999840e+03 4.578497037734569758e-02
7.114291199999999662e+03 6.178497037734580200e-02
7.115727100000000064e+03 7.348497037734580406e-02
7.117280999999999949e+03 1.558849703773459994e-01
7.117885900000000220e+03 2.376849703773460110e-01
7.118504200000000310e+03 3.096849703773459916e-01
7.118746100000000297e+03 3.975849703773460253e-01
7.119028400000000147e+03 4.673849703773459985e-01
7.119431700000000092e+03 6.009849703773459950e-01
7.119633300000000418e+03 6.501849703773460165e-01
7.120708599999999933e+03 7.749849703773460385e-01
7.121246299999999792e+03 8.438849703773459998e-01
7.122052800000000389e+03 8.972849703773460028e-01
7.122859300000000076e+03 9.480849703773459591e-01
7.123665699999999561e+03 1.008684970377349943e+00
7.124069000000000415e+03 1.067684970377350107e+00
7.124270599999999831e+03 1.116484970377350061e+00
7.124875500000000102e+03 1.180484970377349896e+00
7.125404999999999745e+03 1.224984970377350102e+00
7.126690099999999802e+03 1.271284970377350110e+00
7.128908000000000357e+03 1.245184970377350098e+00
7.130924200000000383e+03 1.200984970377350081e+00
7.132738800000000083e+03 1.151484970377349981e+00
7.134553399999999783e+03 1.110184970377350089e+00
7.136771300000000338e+03 1.060984970377349956e+00
7.139190700000000106e+03 1.034084970377350032e+00
7.141610200000000077e+03 1.007184970377350108e+00
7.144029700000000048e+03 9.709849703773459906e-01
7.146449200000000019e+03 9.334849703773460128e-01
7.148868599999999788e+03 9.042849703773460091e-01
7.151288099999999758e+03 8.928849703773460433e-01
7.153707599999999729e+03 8.899849703773460297e-01
7.156127099999999700e+03 9.018849703773460513e-01
7.158546599999999671e+03 9.178849703773459545e-01
7.160966000000000349e+03 9.320849703773459449e-01
7.163385500000000320e+03 9.463849703773460353e-01
7.165805000000000291e+03 9.606849703773460147e-01
7.168224500000000262e+03 9.706849703773460236e-01
7.170643900000000031e+03 9.838849703773460131e-01
7.173063400000000001e+03 9.991849703773459934e-01
7.175482899999999972e+03 1.005884970377350029e+00
7.177902399999999943e+03 1.010884970377349923e+00
7.180321899999999914e+03 1.011984970377350024e+00
7.182741299999999683e+03 1.012784970377349936e+00
7.185160799999999654e+03 1.014784970377349937e+00
7.187580299999999625e+03 1.016584970377349961e+00
7.189999799999999595e+03 1.013684970377350059e+00
7.192419200000000274e+03 1.010184970377350000e+00
7.194838700000000244e+03 1.005684970377350052e+00
7.197258200000000215e+03 1.003784970377350039e+00
7.199677700000000186e+03 9.988849703773460265e-01
7.202097200000000157e+03 9.953849703773459678e-01
7.204516599999999926e+03 9.931849703773459881e-01
7.206936099999999897e+03 9.889849703773460066e-01
7.209355599999999868e+03 9.854849703773459479e-01
7.211775099999999838e+03 9.852849703773459700e-01
7.214194499999999607e+03 9.826849703773460343e-01
7.216613999999999578e+03 9.857849703773460259e-01
7.219033499999999549e+03 9.835849703773460462e-01
7.221453000000000429e+03 9.819849703773460003e-01
7.223872500000000400e+03 9.820849703773459893e-01
7.226291900000000169e+03 9.821849703773459783e-01
7.228711400000000140e+03 9.822849703773459673e-01
7.231130900000000111e+03 9.823849703773459563e-01
7.233550400000000081e+03 9.824849703773459453e-01
7.235969799999999850e+03 9.825849703773460453e-01
7.238389299999999821e+03 9.856849703773460369e-01
7.240808799999999792e+03 9.876849703773460387e-01
7.243228299999999763e+03 9.907849703773460304e-01
7.245647799999999734e+03 9.921849703773459872e-01
7.247865600000000086e+03 9.948849703773460229e-01
