energy intensity
7.084686999999999898e+03 -1.086651449663780035e-04
7.087084600000000137e+03 -8.665144966611349533e-06
7.089482299999999668e+03 9.133485503359969860e-05
7.091879899999999907e+03 1.913348550333670065e-04
7.094277600000000348e+03 2.913348550335779835e-04
7.096675199999999677e+03 2.913348550335779835e-04
7.099072900000000118e+03 3.913348550333449797e-04
7.101470699999999852e+03 9.913348550337230426e-04
7.103870100000000093e+03 6.491334855033339783e-03
7.106267899999999827e+03 7.091334855033720394e-03
7.108667099999999664e+03 1.199133485503339931e-02
7.111067900000000009e+03 2.169133485503340134e-02
7.112599599999999555e+03 4.469133485503359871e-02
7.113262700000000223e+03 7.099133485503360264e-02
7.114134699999999611e+03 6.669133485503339620e-02
7.115875900000000001e+03 6.039133485503340310e-02
7.118090199999999641e+03 1.109913348550339990e-01
7.119179799999999886e+03 1.842913348550339891e-01
7.119827500000000327e+03 2.911913348550340119e-01
7.120175299999999879e+03 3.770913348550329891e-01
7.120598299999999654e+03 4.484913348550340073e-01
7.120832599999999729e+03 5.538913348550339455e-01
7.121065499999999702e+03 6.551913348550340022e-01
7.121901300000000447e+03 7.668913348550340237e-01
7.122730700000000070e+03 8.592913348550339503e-01
7.124198300000000017e+03 9.480913348550340514e-01
7.125188000000000102e+03 1.041791334855030060e+00
7.126024300000000039e+03 1.155091334855030016e+00
7.127056700000000092e+03 1.257191334855030096e+00
7.129068699999999808e+03 1.299791334855030067e+00
7.131454999999999927e+03 1.265091334855029892e+00
7.133831400000000031e+03 1.200291334855029923e+00
7.136207500000000437e+03 1.134491334855030065e+00
7.138589200000000346e+03 1.085891334855030088e+00
7.140975400000000263e+03 1.051091334855029924e+00
7.143362699999999677e+03 1.019591334855030063e+00
7.145747900000000300e+03 9.816913348550330154e-01
7.148133700000000317e+03 9.452913348550330275e-01
7.150523100000000341e+03 9.201913348550340155e-01
7.152917099999999664e+03 9.089913348550340277e-01
7.155315599999999904e+03 9.117913348550330532e-01
7.157716400000000249e+03 9.214913348550329841e-01
7.160119800000000396e+03 9.392913348550340213e-01
7.162521999999999935e+03 9.532913348550330346e-01
7.164924699999999575e+03 9.688913348550339810e-01
7.167326799999999821e+03 9.823913348550340485e-01
7.169729299999999967e+03 9.973913348550339508e-01
7.172131500000000415e+03 1.011491334855030066e+00
7.174533400000000256e+03 1.024391334855029978e+00
7.176931199999999990e+03 1.024991334855029912e+00
7.179328900000000431e+03 1.025091334855029901e+00
7.181726499999999760e+03 1.025191334855029890e+00
7.184124099999999999e+03 1.025191334855029890e+00
7.186521800000000439e+03 1.025291334855030101e+00
7.188919399999999769e+03 1.025391334855030090e+00
7.191317100000000210e+03 1.025491334855030079e+00
7.193713899999999740e+03 1.022891334855029921e+00
7.196109099999999671e+03 1.015491334855030070e+00
7.198505799999999908e+03 1.012891334855029912e+00
7.200902200000000448e+03 1.009191334855030098e+00
7.203297400000000380e+03 1.001791334855030025e+00
7.205693900000000212e+03 9.980913348550329856e-01
7.208090299999999843e+03 9.943913348550339482e-01
7.210487799999999879e+03 9.939913348550339922e-01
7.212885400000000118e+03 9.939913348550339922e-01
7.215281799999999748e+03 9.903913348550339446e-01
7.217678600000000188e+03 9.877913348550330097e-01
7.220076200000000426e+03 9.878913348550339979e-01
7.222473899999999958e+03 9.878913348550339979e-01
7.224870799999999690e+03 9.858913348550329969e-01
7.227267100000000028e+03 9.816913348550330154e-01
7.229664700000000266e+03 9.816913348550330154e-01
7.232062399999999798e+03 9.817913348550340036e-01
7.234460000000000036e+03 9.818913348550329934e-01
7.236858000000000175e+03 9.829913348550339824e-01
7.239257400000000416e+03 9.884913348550340428e-01
7.241655099999999948e+03 9.885913348550330326e-01
7.244052700000000186e+03 9.885913348550330326e-01
7.246450899999999820e+03 9.902913348550329564e-01
7.247852100000000064e+03 9.983913348550339517e-01
