energy intensity
6.863762999999999920e+03 3.689390299999999959e-03
6.873733000000000175e+03 8.803511199999999176e-03
6.883722999999999956e+03 7.253133499999999886e-03
6.893752999999999702e+03 6.075684300000000135e-03
6.903813000000000102e+03 4.297005900000000315e-03
6.913792999999999665e+03 2.840601199999999958e-03
6.923792999999999665e+03 2.287602299999999794e-03
6.933722999999999956e+03 3.105608900000000026e-03
6.943783000000000357e+03 -4.842203199999999908e-05
6.953773000000000138e+03 -3.477670499999999825e-04
6.963783000000000357e+03 -1.183355400000000003e-03
6.973832999999999629e+03 -1.160660700000000012e-03
6.983792999999999665e+03 -1.082499300000000107e-03
6.993773000000000138e+03 -3.432676500000000127e-03
7.003792999999999665e+03 -1.970055000000000070e-03
7.013733000000000175e+03 -2.728909700000000087e-03
7.023813000000000102e+03 -2.354102099999999878e-03
7.033802999999999884e+03 -3.438307800000000095e-03
7.043823000000000320e+03 -3.912208500000000089e-03
7.053762999999999920e+03 -2.810903400000000149e-03
7.063722999999999956e+03 -2.868778700000000018e-03
7.073722999999999956e+03 -2.784361799999999793e-03
7.083743000000000393e+03 -3.508729700000000166e-03
7.093792999999999665e+03 -1.333610800000000103e-03
7.094743000000000393e+03 -5.229822999999999547e-04
7.095222999999999956e+03 -4.434571400000000027e-04
7.095693000000000211e+03 3.924333899999999883e-04
7.096162999999999556e+03 3.599230499999999793e-05
7.096643000000000029e+03 2.819064099999999957e-04
7.097113000000000284e+03 8.172841499999999870e-04
7.097592999999999847e+03 1.114965799999999936e-03
7.098063000000000102e+03 3.884750200000000250e-04
7.098542999999999665e+03 1.151932800000000099e-03
7.099012999999999920e+03 1.800528800000000080e-03
7.099493000000000393e+03 2.287053800000000102e-03
7.099962999999999738e+03 1.969606100000000082e-03
7.100432999999999993e+03 2.408871800000000202e-03
7.100912999999999556e+03 2.483334199999999870e-03
7.101382999999999811e+03 2.114210000000000048e-03
7.101863000000000284e+03 3.086859500000000128e-03
7.102332999999999629e+03 3.067515499999999996e-03
7.102813000000000102e+03 4.115596099999999612e-03
7.103283000000000357e+03 4.543434100000000309e-03
7.103762999999999920e+03 5.142307399999999744e-03
7.104233000000000175e+03 6.358298000000000075e-03
7.104712999999999738e+03 6.119085100000000270e-03
7.105193000000000211e+03 6.490013299999999874e-03
7.105662999999999556e+03 6.640192500000000227e-03
7.106143000000000029e+03 7.536146999999999985e-03
7.106613000000000284e+03 9.053167500000000589e-03
7.107092999999999847e+03 9.778191300000000849e-03
7.107563000000000102e+03 1.000290199999999928e-02
7.108042999999999665e+03 1.147981799999999927e-02
7.108512999999999920e+03 1.272039399999999945e-02
7.108993000000000393e+03 1.386717099999999932e-02
7.109472999999999956e+03 1.591170500000000168e-02
7.109943000000000211e+03 1.885132800000000053e-02
7.110422999999999774e+03 2.206931499999999907e-02
7.110893000000000029e+03 2.745307400000000092e-02
7.111372999999999593e+03 3.620376599999999834e-02
7.111853000000000065e+03 4.747890099999999697e-02
7.112323000000000320e+03 6.449705099999999969e-02
7.112802999999999884e+03 8.778251700000000435e-02
7.113283000000000357e+03 1.109834100000000046e-01
7.113752999999999702e+03 1.174331900000000067e-01
7.114233000000000175e+03 1.100804799999999944e-01
7.114712999999999738e+03 1.011171800000000010e-01
7.115182999999999993e+03 9.532475599999999660e-02
7.115662999999999556e+03 9.358306299999999411e-02
7.116143000000000029e+03 9.439351799999999570e-02
7.116613000000000284e+03 9.943575600000000014e-02
7.117092999999999847e+03 1.081800400000000051e-01
7.117573000000000320e+03 1.226575399999999955e-01
7.118052999999999884e+03 1.408293100000000131e-01
7.118523000000000138e+03 1.648552899999999877e-01
7.119002999999999702e+03 1.969624600000000059e-01
7.119483000000000175e+03 2.353629700000000047e-01
7.119953000000000429e+03 2.818817699999999760e-01
7.120432999999999993e+03 3.353151400000000115e-01
7.120912999999999556e+03 3.917263300000000115e-01
7.121393000000000029e+03 4.459409699999999921e-01
7.121863000000000284e+03 4.967697200000000257e-01
7.122342999999999847e+03 5.434946999999999973e-01
7.122823000000000320e+03 5.932034200000000368e-01
7.123302999999999884e+03 6.460558400000000479e-01
7.123783000000000357e+03 7.032332300000000425e-01
7.124252999999999702e+03 7.616745299999999608e-01
7.124733000000000175e+03 8.203862699999999730e-01
7.125212999999999738e+03 8.704452200000000195e-01
7.125693000000000211e+03 9.162407200000000085e-01
7.126172999999999774e+03 9.536057900000000087e-01
7.126653000000000247e+03 9.864536299999999702e-01
7.127122999999999593e+03 1.013097799999999937e+00
7.127603000000000065e+03 1.050129700000000055e+00
7.128082999999999629e+03 1.091458599999999945e+00
7.128563000000000102e+03 1.137308800000000009e+00
7.129042999999999665e+03 1.183541900000000036e+00
7.129523000000000138e+03 1.230828699999999998e+00
7.130002999999999702e+03 1.264310000000000045e+00
7.130472999999999956e+03 1.284181000000000017e+00
7.130953000000000429e+03 1.288610699999999998e+00
7.131432999999999993e+03 1.288387600000000077e+00
7.131912999999999556e+03 1.273116700000000101e+00
7.132393000000000029e+03 1.259183900000000023e+00
7.132872999999999593e+03 1.239199799999999962e+00
7.133353000000000065e+03 1.215717900000000018e+00
7.133832999999999629e+03 1.197888099999999900e+00
7.134313000000000102e+03 1.178307500000000063e+00
7.134792999999999665e+03 1.155278400000000039e+00
7.135273000000000138e+03 1.141857600000000028e+00
7.135752999999999702e+03 1.126671299999999931e+00
7.136233000000000175e+03 1.119467999999999908e+00
7.136712999999999738e+03 1.112598500000000046e+00
7.137193000000000211e+03 1.107951099999999967e+00
7.137672999999999774e+03 1.100122299999999997e+00
7.138153000000000247e+03 1.096009100000000069e+00
7.138632999999999811e+03 1.088235400000000075e+00
7.139113000000000284e+03 1.080731000000000108e+00
7.139592999999999847e+03 1.073319700000000099e+00
7.140073000000000320e+03 1.064948699999999970e+00
7.140552999999999884e+03 1.058667500000000095e+00
7.141033000000000357e+03 1.050897799999999993e+00
7.141512999999999920e+03 1.047443899999999983e+00
7.141993000000000393e+03 1.045058299999999996e+00
7.142472999999999956e+03 1.045585500000000057e+00
7.142953000000000429e+03 1.045066499999999898e+00
7.143432999999999993e+03 1.049050299999999991e+00
7.143912999999999556e+03 1.053673300000000035e+00
7.144393000000000029e+03 1.055885399999999974e+00
7.144872999999999593e+03 1.058471600000000068e+00
7.145353000000000065e+03 1.057921200000000006e+00
7.145832999999999629e+03 1.058917200000000003e+00
7.146323000000000320e+03 1.053695899999999908e+00
7.146802999999999884e+03 1.051254499999999981e+00
7.147283000000000357e+03 1.043292700000000073e+00
7.147762999999999920e+03 1.036562399999999995e+00
7.148243000000000393e+03 1.026521400000000028e+00
7.148722999999999956e+03 1.012667800000000007e+00
7.149203000000000429e+03 9.999571800000000010e-01
7.149693000000000211e+03 9.873941499999999705e-01
7.150172999999999774e+03 9.758156900000000133e-01
7.150653000000000247e+03 9.645850500000000549e-01
7.151132999999999811e+03 9.570947300000000046e-01
7.151613000000000284e+03 9.498043999999999931e-01
7.152092999999999847e+03 9.434545399999999526e-01
7.152582999999999629e+03 9.386893099999999990e-01
7.153063000000000102e+03 9.329216900000000257e-01
7.153542999999999665e+03 9.299867099999999942e-01
7.154023000000000138e+03 9.239686200000000182e-01
7.154502999999999702e+03 9.206214200000000236e-01
7.154993000000000393e+03 9.185791199999999712e-01
7.155472999999999956e+03 9.141711399999999932e-01
7.155953000000000429e+03 9.085067399999999793e-01
7.156432999999999993e+03 9.049316800000000161e-01
7.156922999999999774e+03 8.994306699999999877e-01
7.157403000000000247e+03 8.959563099999999780e-01
7.157882999999999811e+03 8.916609699999999972e-01
7.158372999999999593e+03 8.889194000000000262e-01
7.158853000000000065e+03 8.871980600000000106e-01
7.159332999999999629e+03 8.849970700000000523e-01
7.159813000000000102e+03 8.848908300000000171e-01
7.160302999999999884e+03 8.838468299999999722e-01
7.160783000000000357e+03 8.844005200000000233e-01
7.161262999999999920e+03 8.857353000000000032e-01
7.161752999999999702e+03 8.872147500000000520e-01
7.162233000000000175e+03 8.872493999999999659e-01
7.162712999999999738e+03 8.928514800000000307e-01
7.163203000000000429e+03 8.927128800000000419e-01
7.163682999999999993e+03 8.951750499999999722e-01
7.164162999999999556e+03 8.976863600000000165e-01
7.164653000000000247e+03 8.985299300000000322e-01
7.165132999999999811e+03 9.005625999999999909e-01
7.165622999999999593e+03 9.044191200000000208e-01
7.166103000000000065e+03 9.075355200000000400e-01
7.166582999999999629e+03 9.121049700000000149e-01
7.167073000000000320e+03 9.137984900000000188e-01
7.167552999999999884e+03 9.180260900000000168e-01
7.168042999999999665e+03 9.203252699999999731e-01
7.168523000000000138e+03 9.247263999999999484e-01
7.169002999999999702e+03 9.292706600000000261e-01
7.169493000000000393e+03 9.353637700000000388e-01
7.169972999999999956e+03 9.419853799999999833e-01
7.170462999999999738e+03 9.470425099999999485e-01
7.170943000000000211e+03 9.526400099999999815e-01
7.171432999999999993e+03 9.572024300000000485e-01
7.171912999999999556e+03 9.614760900000000055e-01
7.172403000000000247e+03 9.672328199999999931e-01
7.172882999999999811e+03 9.718183000000000238e-01
7.173372999999999593e+03 9.779283899999999807e-01
7.173853000000000065e+03 9.849187400000000148e-01
7.174342999999999847e+03 9.884227500000000166e-01
7.174823000000000320e+03 9.937772799999999851e-01
7.175313000000000102e+03 9.955932600000000354e-01
7.175792999999999665e+03 1.000148000000000037e+00
7.176283000000000357e+03 1.003742499999999982e+00
7.176762999999999920e+03 1.010096000000000105e+00
7.177252999999999702e+03 1.011926300000000056e+00
7.177733000000000175e+03 1.016887799999999897e+00
7.178222999999999956e+03 1.019516400000000100e+00
7.178703000000000429e+03 1.024640800000000018e+00
7.179193000000000211e+03 1.028651900000000063e+00
7.179682999999999993e+03 1.036683199999999916e+00
7.180162999999999556e+03 1.039221900000000032e+00
7.180653000000000247e+03 1.042500600000000111e+00
7.181132999999999811e+03 1.047304199999999907e+00
7.181622999999999593e+03 1.049654499999999935e+00
7.182113000000000284e+03 1.053344899999999917e+00
7.182592999999999847e+03 1.058742899999999931e+00
7.183082999999999629e+03 1.058759000000000006e+00
7.183563000000000102e+03 1.056288499999999964e+00
7.184052999999999884e+03 1.058709600000000028e+00
7.184542999999999665e+03 1.060980299999999987e+00
7.185023000000000138e+03 1.063277400000000039e+00
7.185512999999999920e+03 1.060422799999999999e+00
7.186002999999999702e+03 1.058459800000000062e+00
7.186483000000000175e+03 1.058598600000000056e+00
7.186972999999999956e+03 1.059686200000000023e+00
7.187462999999999738e+03 1.058612099999999945e+00
7.187953000000000429e+03 1.055442599999999898e+00
7.188432999999999993e+03 1.055382000000000042e+00
7.188922999999999774e+03 1.052805200000000108e+00
7.189412999999999556e+03 1.051253200000000110e+00
7.189893000000000029e+03 1.050790700000000077e+00
7.190382999999999811e+03 1.051670600000000011e+00
7.190872999999999593e+03 1.049647800000000020e+00
7.191363000000000284e+03 1.046219100000000068e+00
7.191842999999999847e+03 1.049269699999999972e+00
7.192332999999999629e+03 1.045956300000000061e+00
7.192823000000000320e+03 1.045615600000000089e+00
7.193313000000000102e+03 1.041146799999999928e+00
7.193792999999999665e+03 1.038610199999999928e+00
7.194773000000000138e+03 1.034943100000000005e+00
7.196603000000000065e+03 1.025771699999999953e+00
7.198432999999999993e+03 1.016283199999999942e+00
7.200393000000000029e+03 1.005277399999999988e+00
7.202222999999999956e+03 9.983193299999999493e-01
7.204182999999999993e+03 9.852042199999999639e-01
7.206132999999999811e+03 9.782243999999999939e-01
7.208092999999999847e+03 9.743074099999999849e-01
7.210052999999999884e+03 9.738486600000000326e-01
7.212143000000000029e+03 9.740302400000000471e-01
7.214103000000000065e+03 9.797783300000000306e-01
7.216182999999999993e+03 9.853277299999999572e-01
7.218273000000000138e+03 9.908413400000000149e-01
7.220363000000000284e+03 9.988017000000000145e-01
7.222453000000000429e+03 1.006026000000000087e+00
7.224542999999999665e+03 1.014132899999999893e+00
7.226632999999999811e+03 1.019880799999999921e+00
7.228853000000000065e+03 1.021894999999999998e+00
7.231073000000000320e+03 1.021903000000000006e+00
7.233292999999999665e+03 1.016753400000000029e+00
7.235512999999999920e+03 1.012645900000000099e+00
7.237733000000000175e+03 1.005202699999999894e+00
7.240082999999999629e+03 9.941199499999999745e-01
7.242313000000000102e+03 9.824138900000000119e-01
7.244662999999999556e+03 9.733519099999999868e-01
7.247012999999999920e+03 9.632251699999999639e-01
7.249363000000000284e+03 9.618953399999999876e-01
7.251722999999999956e+03 9.682689899999999961e-01
7.254073000000000320e+03 9.759085499999999858e-01
