energy intensity
7.100316025650299707e+03 -1.419775016356820052e-03
7.101197979242359906e+03 -1.917516358167169937e-03
7.102079932834420106e+03 -4.242923327361090065e-04
7.102961886426470301e+03 -4.242923327361090065e-04
7.103843840018529590e+03 -4.242923327361090065e-04
7.104725793610579785e+03 5.050862427176889928e-03
7.105607747202639985e+03 5.050862427176889928e-03
7.106489700794700184e+03 6.544086452607509805e-03
7.107371654386750379e+03 7.539569136228219982e-03
7.108253607978809669e+03 1.052601718708989949e-02
7.109135561570859863e+03 1.550343060519250062e-02
7.110017515162920063e+03 2.197406804872630015e-02
7.110899468754980262e+03 3.043567085950089901e-02
7.111781422347029547e+03 4.437242843018820299e-02
7.112663375939089747e+03 5.482499660820430026e-02
7.113545329531139942e+03 5.980241002630690139e-02
7.114427283123200141e+03 6.378434076078889903e-02
7.115309236715260340e+03 7.622787430604589798e-02
7.116191190307309625e+03 1.006172000547490009e-01
7.117116016643430157e+03 1.429252141086219952e-01
7.117908455714919910e+03 1.968344302062270124e-01
7.118601529385599861e+03 2.736049409402649957e-01
7.119124910936439846e+03 3.516668719451440106e-01
7.119663882576030119e+03 4.342698128482350151e-01
7.120215103571070358e+03 5.251336798941329542e-01
7.120754075210659721e+03 6.079894417962400377e-01
7.121219550717570201e+03 6.804858632637169613e-01
7.121798611156799780e+03 7.571768149421199690e-01
7.122364865451700098e+03 8.325956173209360101e-01
7.122916086446740337e+03 9.106414597167870051e-01
7.123412185342270277e+03 9.880900125024649761e-01
7.123853162138299922e+03 1.054574034587119957e+00
7.124294138934329567e+03 1.117289443655220094e+00
7.124790237829860416e+03 1.182209135808470091e+00
7.125319409985089806e+03 1.247910992927429907e+00
7.126113168217940256e+03 1.311621884679140093e+00
7.126995121809999546e+03 1.343477330555000071e+00
7.127919948146110073e+03 1.326443515746380086e+00
7.128765153671830376e+03 1.300782184346390036e+00
7.129304125311419739e+03 1.253441452280880108e+00
7.130147103681610133e+03 1.206824707621630077e+00
7.130908790874749684e+03 1.156105367660200001e+00
7.131692749623240161e+03 1.120710427798139897e+00
7.132200222920259876e+03 1.078110089464149990e+00
7.132948308556369739e+03 1.062253472432199919e+00
7.133830262148429938e+03 1.029402543872719900e+00
7.134712215740490137e+03 1.007501924833070106e+00
7.135594169332540332e+03 9.930674259205679588e-01
7.136476122924599622e+03 9.826148577425519726e-01
7.137358076516649817e+03 9.736555135899670477e-01
7.138240030108710016e+03 9.711668068809159449e-01
7.139121983700770215e+03 9.711668068809159449e-01
7.140003937292820410e+03 9.671848761464340027e-01
7.140885890884879700e+03 9.577277906520389461e-01
7.141767844476929895e+03 9.532481185757459841e-01
7.142649798068990094e+03 9.472752224740229599e-01
7.143531751661050293e+03 9.403068436886790060e-01
7.144413705253099579e+03 9.313474995360939701e-01
7.145295658845159778e+03 9.223881553835090452e-01
7.146177612437209973e+03 9.084513978128220257e-01
7.147059566029270172e+03 9.004875363438570313e-01
7.147941519621320367e+03 8.930214162167029457e-01
7.148823473213379657e+03 8.865507787731700118e-01
7.149705426805439856e+03 8.810756240132570083e-01
7.150587380397490051e+03 8.756004692533440048e-01
7.151469333989550250e+03 8.770936932787739559e-01
7.152351287581610450e+03 8.775914346205849759e-01
7.153233241173659735e+03 8.805778826714459884e-01
7.154115194765719934e+03 8.895372268240310243e-01
7.154997148357770129e+03 8.950123815839440278e-01
7.155879101949830329e+03 9.034739843947190430e-01
7.156761055541879614e+03 9.094468804964419562e-01
7.157643009133939813e+03 9.198994486744580534e-01
7.158524962726000012e+03 9.253746034343709459e-01
7.159406916318050207e+03 9.378181369796280142e-01
7.160288869910110407e+03 9.467774811322130502e-01
7.161170823502159692e+03 9.572300493102280372e-01
7.162052777094219891e+03 9.696735828554849945e-01
7.162934730686280091e+03 9.801261510335009808e-01
7.163816684278330285e+03 9.975470979968600327e-01
7.164698637870389575e+03 1.007501924833070106e+00
7.165580591462439770e+03 1.020940941061940110e+00
7.166462545054499969e+03 1.028407061189100080e+00
7.167344498646560169e+03 1.037366405341680009e+00
7.168226452238610364e+03 1.043339301443410028e+00
7.169108405830669653e+03 1.051800904254180047e+00
7.169990359422719848e+03 1.052796386937800088e+00
7.170872313014780048e+03 1.056280576330469900e+00
7.171754266606830242e+03 1.062253472432199919e+00
7.172636220198890442e+03 1.066235403166680085e+00
7.173518173790949731e+03 1.066733144508489994e+00
7.174400127382999926e+03 1.065737661824869953e+00
7.175282080975060126e+03 1.061755731090390009e+00
7.176164034567110320e+03 1.059764765723139934e+00
7.177045988159169610e+03 1.053294128279609998e+00
7.177927941751229810e+03 1.052796386937800088e+00
7.178809895343280004e+03 1.045330266810650111e+00
7.179691848935340204e+03 1.042841560101599896e+00
