energy intensity
7.000000000000000000e+03 1.321887899999999979e-03
7.005010000000000218e+03 6.293104899999999976e-04
7.010000000000000000e+03 -4.779933899999999755e-04
7.015000000000000000e+03 -5.215165999999999595e-04
7.020000000000000000e+03 1.951036800000000124e-04
7.024989999999999782e+03 -5.963762599999999610e-04
7.029989999999999782e+03 -3.908060599999999755e-04
7.035000000000000000e+03 -8.033733399999999636e-04
7.039989999999999782e+03 -6.301880999999999846e-04
7.044989999999999782e+03 -1.294871200000000024e-03
7.050000000000000000e+03 2.912069499999999939e-03
7.055000000000000000e+03 -1.997285900000000101e-04
7.060000000000000000e+03 -5.484801899999999526e-04
7.065010000000000218e+03 4.027106300000000017e-04
7.070000000000000000e+03 -1.625312299999999953e-03
7.075000000000000000e+03 3.870062600000000056e-04
7.079989999999999782e+03 9.673679400000000485e-04
7.085010000000000218e+03 2.731895099999999844e-04
7.089989999999999782e+03 2.732218299999999902e-03
7.092000000000000000e+03 3.987195100000000270e-03
7.093210000000000036e+03 3.415867999999999856e-03
7.094409999999999854e+03 3.990560100000000235e-03
7.095600000000000364e+03 4.571124600000000399e-03
7.096800000000000182e+03 5.279140899999999748e-03
7.097989999999999782e+03 5.530470899999999877e-03
7.099210000000000036e+03 7.032708700000000167e-03
7.100409999999999854e+03 6.480312700000000030e-03
7.101600000000000364e+03 7.944013300000000305e-03
7.102800000000000182e+03 1.055433300000000081e-02
7.104000000000000000e+03 1.222962499999999918e-02
7.105199999999999818e+03 1.527759799999999987e-02
7.106390000000000327e+03 1.748774800000000088e-02
7.107590000000000146e+03 2.476195299999999974e-02
7.108789999999999964e+03 5.000577800000000073e-02
7.109989999999999782e+03 7.220741599999999649e-02
7.111189999999999600e+03 9.168228100000000436e-02
7.112390000000000327e+03 7.934211900000000262e-02
7.113600000000000364e+03 9.079182700000000550e-02
7.114800000000000182e+03 1.596741600000000094e-01
7.116000000000000000e+03 2.947465000000000224e-01
7.117199999999999818e+03 4.279274499999999870e-01
7.118409999999999854e+03 5.568443100000000090e-01
7.119609999999999673e+03 6.767656499999999964e-01
7.120789999999999964e+03 8.013547600000000548e-01
7.122000000000000000e+03 9.271095599999999992e-01
7.123199999999999818e+03 1.025519499999999917e+00
7.124399999999999636e+03 1.100566699999999898e+00
7.125609999999999673e+03 1.135697900000000038e+00
7.126789999999999964e+03 1.163897500000000029e+00
7.128000000000000000e+03 1.183446299999999951e+00
7.129210000000000036e+03 1.176639500000000060e+00
7.130390000000000327e+03 1.168149099999999940e+00
7.131600000000000364e+03 1.152614699999999992e+00
7.132810000000000400e+03 1.141691400000000023e+00
7.134000000000000000e+03 1.126827199999999918e+00
7.135199999999999818e+03 1.116827900000000096e+00
7.136390000000000327e+03 1.099645200000000100e+00
7.137600000000000364e+03 1.086453200000000008e+00
7.138789999999999964e+03 1.063648200000000044e+00
7.140000000000000000e+03 1.046832800000000008e+00
7.141189999999999600e+03 1.031736999999999904e+00
7.142399999999999636e+03 1.022110800000000097e+00
7.143590000000000146e+03 1.005160700000000018e+00
7.144800000000000182e+03 9.859564299999999948e-01
7.146000000000000000e+03 9.640523100000000234e-01
7.147210000000000036e+03 9.562089299999999570e-01
7.148399999999999636e+03 9.367830000000000323e-01
7.149590000000000146e+03 9.184901399999999549e-01
7.150810000000000400e+03 9.158297100000000190e-01
7.152000000000000000e+03 9.007237299999999447e-01
7.153239999999999782e+03 8.958446799999999488e-01
7.154500000000000000e+03 8.834653500000000381e-01
7.155779999999999745e+03 8.819682100000000302e-01
7.157079999999999927e+03 8.844570400000000276e-01
7.158409999999999854e+03 8.878976100000000038e-01
7.159729999999999563e+03 8.817348299999999695e-01
7.161100000000000364e+03 8.961251999999999551e-01
7.162470000000000255e+03 9.001941300000000368e-01
7.163869999999999891e+03 9.181789000000000200e-01
7.165279999999999745e+03 9.196163000000000531e-01
7.166720000000000255e+03 9.349564700000000395e-01
7.168159999999999854e+03 9.420369699999999735e-01
7.169640000000000327e+03 9.587565900000000196e-01
7.171130000000000109e+03 9.781219599999999570e-01
7.172630000000000109e+03 9.788872100000000076e-01
7.174159999999999854e+03 9.884415300000000126e-01
7.175710000000000036e+03 9.877494900000000078e-01
7.177279999999999745e+03 9.957149400000000483e-01
7.178859999999999673e+03 1.001575600000000010e+00
7.180479999999999563e+03 1.000532800000000000e+00
7.182100000000000364e+03 1.007359399999999905e+00
7.183739999999999782e+03 1.000304499999999930e+00
7.185399999999999636e+03 1.010079299999999902e+00
7.187069999999999709e+03 1.005735400000000057e+00
7.188779999999999745e+03 9.998460900000000207e-01
7.190489999999999782e+03 1.001613199999999981e+00
7.192220000000000255e+03 1.004838499999999968e+00
7.193979999999999563e+03 9.985526999999999598e-01
7.195760000000000218e+03 1.003514199999999912e+00
7.197560000000000400e+03 9.982700300000000304e-01
7.199359999999999673e+03 1.002116000000000007e+00
7.201189999999999600e+03 9.963831499999999952e-01
7.203039999999999964e+03 1.000538900000000009e+00
7.204909999999999854e+03 9.977583300000000266e-01
7.206810000000000400e+03 9.886322199999999505e-01
7.208729999999999563e+03 9.954225100000000381e-01
7.210640000000000327e+03 9.897310499999999456e-01
7.212590000000000146e+03 9.880699800000000144e-01
7.214550000000000182e+03 9.938786499999999746e-01
7.216539999999999964e+03 9.891805500000000473e-01
7.218529999999999745e+03 9.931559899999999885e-01
7.220569999999999709e+03 9.885684799999999717e-01
7.222600000000000364e+03 9.849058200000000429e-01
7.224659999999999854e+03 9.852034600000000308e-01
7.226750000000000000e+03 9.805870599999999548e-01
7.228829999999999927e+03 9.777751700000000268e-01
7.230960000000000036e+03 9.781665800000000077e-01
7.233100000000000364e+03 9.774258700000000299e-01
7.235250000000000000e+03 9.733615799999999485e-01
7.237430000000000291e+03 9.824247799999999975e-01
7.239609999999999673e+03 9.841310599999999464e-01
7.241840000000000146e+03 9.811679300000000215e-01
7.244060000000000400e+03 9.798762300000000147e-01
7.246310000000000400e+03 9.800703899999999580e-01
7.248590000000000146e+03 9.912785499999999805e-01
7.250869999999999891e+03 9.919157800000000247e-01
7.253189999999999600e+03 9.852722299999999711e-01
7.255510000000000218e+03 9.939102600000000454e-01
7.257859999999999673e+03 9.958389600000000508e-01
7.260210000000000036e+03 1.004172999999999982e+00
7.262609999999999673e+03 1.008742100000000086e+00
7.265000000000000000e+03 1.001674399999999965e+00
7.267430000000000291e+03 9.934747600000000123e-01
7.269869999999999891e+03 1.000323099999999910e+00
7.272319999999999709e+03 1.007394399999999912e+00
7.274789999999999964e+03 1.005490100000000053e+00
7.277289999999999964e+03 1.008645500000000084e+00
7.279810000000000400e+03 1.006780900000000090e+00
7.282350000000000364e+03 1.007827199999999923e+00
7.284899999999999636e+03 1.005833600000000105e+00
7.287470000000000255e+03 1.008576799999999940e+00
7.290069999999999709e+03 1.007710300000000059e+00
7.292689999999999600e+03 1.008873899999999990e+00
7.295310000000000400e+03 9.972961099999999579e-01
7.297949999999999818e+03 1.007395000000000040e+00
7.300630000000000109e+03 9.961611000000000216e-01
7.303319999999999709e+03 9.977861099999999484e-01
7.306020000000000437e+03 9.982905399999999485e-01
7.308739999999999782e+03 9.995188799999999985e-01
7.311489999999999782e+03 1.000832900000000025e+00
7.314260000000000218e+03 9.971672200000000208e-01
7.317039999999999964e+03 9.969679799999999759e-01
7.319840000000000146e+03 9.990670999999999857e-01
7.322659999999999854e+03 1.008493499999999932e+00
7.325510000000000218e+03 1.000018199999999968e+00
7.328359999999999673e+03 9.951400599999999930e-01
7.331239999999999782e+03 9.952627299999999844e-01
7.334140000000000327e+03 9.980920500000000084e-01
7.337050000000000182e+03 9.952121299999999726e-01
7.340000000000000000e+03 9.976181899999999603e-01
7.342930000000000291e+03 1.002742599999999928e+00
7.345909999999999854e+03 9.906694999999999807e-01
7.348899999999999636e+03 9.964562200000000036e-01
7.351930000000000291e+03 9.997080099999999803e-01
7.354939999999999600e+03 1.000223899999999944e+00
7.358000000000000000e+03 1.003309900000000088e+00
7.361060000000000400e+03 9.941012399999999971e-01
7.364149999999999636e+03 9.974717800000000301e-01
7.367260000000000218e+03 9.962370000000000392e-01
7.370380000000000109e+03 9.934974300000000147e-01
7.373520000000000437e+03 9.993841700000000161e-01
7.376689999999999600e+03 9.923090300000000363e-01
7.379859999999999673e+03 1.007458699999999929e+00
7.383060000000000400e+03 9.946737300000000337e-01
7.386279999999999745e+03 9.948371200000000192e-01
7.389529999999999745e+03 9.968242099999999883e-01
