energy intensity
7.089884000000000015e+03 8.031902000000000269e-04
7.089940999999999804e+03 9.814660000000000658e-04
7.090038999999999760e+03 7.715423999999999807e-04
7.090139000000000124e+03 7.608820999999999770e-04
7.090243000000000393e+03 8.282670999999999697e-04
7.090346000000000458e+03 7.510474000000000490e-04
7.090452000000000226e+03 6.520156999999999516e-04
7.090551999999999680e+03 5.690065000000000010e-04
7.090655999999999949e+03 6.999948999999999885e-04
7.090759000000000015e+03 4.872262000000000142e-04
7.090859000000000378e+03 5.055962000000000433e-04
7.090963000000000648e+03 6.361169999999999542e-04
7.091059999999999491e+03 4.372353000000000047e-04
7.091159000000000560e+03 3.608532000000000232e-04
7.091255000000000109e+03 2.910812999999999942e-04
7.091345999999999549e+03 3.046257999999999930e-04
7.091442000000000007e+03 3.799717000000000199e-04
7.091537999999999556e+03 4.343249000000000198e-04
7.091639000000000124e+03 2.187244000000000026e-04
7.091739999999999782e+03 3.235900999999999903e-04
7.091834000000000742e+03 3.566786000000000175e-04
7.091932999999999993e+03 1.863971999999999981e-04
7.092029000000000451e+03 2.318011999999999991e-04
7.092128999999999905e+03 1.364026000000000008e-04
7.092230999999999767e+03 1.037797000000000052e-04
7.092331999999999425e+03 1.161833999999999962e-04
7.092437999999999192e+03 -1.744677000000000033e-04
7.092539000000000669e+03 1.014774000000000052e-05
7.092641000000000531e+03 -1.480133000000000047e-05
7.092740999999999985e+03 1.724689000000000116e-04
7.092841000000000349e+03 -5.064076000000000200e-05
7.092946000000000822e+03 7.464904000000000416e-06
7.093043999999999869e+03 9.151430999999999965e-05
7.093141999999999825e+03 -2.040618000000000119e-04
7.093235999999999876e+03 -9.596505999999999765e-05
7.093329999999999927e+03 -1.058526999999999971e-04
7.093430999999999585e+03 -4.066850999999999935e-05
7.093528000000000247e+03 -1.833344000000000043e-04
7.093631000000000313e+03 -1.098801999999999987e-04
7.093731999999999971e+03 -1.807094999999999882e-04
7.093829999999999927e+03 -2.481636999999999971e-04
7.093927999999999884e+03 -2.447665999999999818e-04
7.094026000000000749e+03 -3.005258999999999817e-04
7.094131000000000313e+03 -1.847831000000000029e-04
7.094235000000000582e+03 -1.945507000000000074e-04
7.094342000000000553e+03 -2.764371999999999966e-04
7.094449999999999818e+03 -3.431120999999999976e-04
7.094550000000000182e+03 -4.279908000000000020e-04
7.094655999999999949e+03 -4.487375000000000044e-04
7.094760000000000218e+03 -3.336444999999999732e-04
7.094863000000000284e+03 -4.042774000000000064e-04
7.094966999999999643e+03 -4.832497000000000160e-04
7.095063999999999396e+03 -3.020316000000000103e-04
7.095164999999999964e+03 -4.415329999999999754e-04
7.095260999999999513e+03 -3.344930999999999773e-04
7.095359000000000378e+03 -5.022346000000000449e-04
7.095462000000000444e+03 -2.663952999999999937e-04
7.095564000000000306e+03 -3.416278999999999822e-04
7.095670000000000073e+03 -2.868117000000000106e-04
7.095768999999999323e+03 -5.403940999999999563e-04
7.095863999999999578e+03 -4.886177999999999485e-04
7.095962000000000444e+03 -3.746557000000000186e-04
7.096061999999999898e+03 -2.804630000000000014e-04
7.096171000000000276e+03 -2.383107000000000085e-04
7.096274000000000342e+03 -2.629419000000000244e-04
7.096376000000000204e+03 -3.806530000000000026e-04
7.096478000000000065e+03 -5.564988999999999787e-04
7.096579999999999927e+03 -2.945816999999999988e-04
7.096684999999999491e+03 -5.340103000000000124e-04
7.096784999999999854e+03 -3.779718000000000053e-04
7.096885000000000218e+03 -3.217795999999999981e-04
7.096983000000000175e+03 -2.929675999999999765e-04
7.097076999999999316e+03 -2.395949999999999989e-04
7.097173999999999978e+03 -2.303914999999999913e-04
7.097268000000000029e+03 -4.223030000000000121e-04
7.097363999999999578e+03 -3.141881999999999813e-04
7.097463000000000648e+03 -2.743085000000000250e-04
7.097564000000000306e+03 -9.382926000000000363e-05
7.097667000000000371e+03 -2.969715999999999741e-04
7.097762000000000626e+03 -1.682339999999999888e-04
7.097859999999999673e+03 -1.846893000000000005e-04
7.097959000000000742e+03 -6.467453999999999488e-05
7.098059000000000196e+03 -4.599340999999999982e-05
7.098163999999999760e+03 6.539343000000000521e-05
7.098264999999999418e+03 -6.379392000000000059e-06
7.098369999999999891e+03 -1.534485000000000098e-06
7.098470999999999549e+03 1.064138000000000009e-04
7.098570999999999913e+03 -6.699832999999999386e-05
7.098676000000000386e+03 1.382358000000000089e-04
7.098774999999999636e+03 1.221825000000000114e-04
7.098880000000000109e+03 2.090798999999999902e-04
7.098980000000000473e+03 2.296707999999999898e-04
7.099073999999999614e+03 5.133550999999999869e-04
7.099172000000000480e+03 1.547251999999999937e-04
7.099265999999999622e+03 2.822853999999999858e-04
7.099368000000000393e+03 4.050015999999999816e-04
7.099469000000000051e+03 4.586599000000000231e-04
7.099568999999999505e+03 3.471532000000000155e-04
7.099672999999999774e+03 5.156129000000000181e-04
7.099771999999999935e+03 5.538391000000000147e-04
7.099873999999999796e+03 6.771560000000000469e-04
7.099973999999999251e+03 8.316856999999999982e-04
7.100078999999999724e+03 7.200835000000000048e-04
7.100186999999999898e+03 6.534451000000000365e-04
7.100291999999999462e+03 8.372237000000000255e-04
7.100399000000000342e+03 9.449651000000000101e-04
7.100501999999999498e+03 1.125094000000000094e-03
7.100603000000000065e+03 1.039418000000000069e-03
7.100710000000000036e+03 1.063628999999999963e-03
7.100812999999999192e+03 1.305217000000000009e-03
7.100917000000000371e+03 1.277417000000000092e-03
7.101012999999999920e+03 1.474229000000000078e-03
7.101110000000000582e+03 1.523905000000000095e-03
7.101211000000000240e+03 1.502719999999999924e-03
7.101307999999999993e+03 1.638740000000000075e-03
7.101409999999999854e+03 1.925557000000000050e-03
7.101510000000000218e+03 1.708808000000000028e-03
7.101610999999999876e+03 1.972451999999999973e-03
7.101711000000000240e+03 1.983313000000000003e-03
7.101806999999999789e+03 2.239912000000000153e-03
7.101907999999999447e+03 2.422612000000000203e-03
7.102006000000000313e+03 2.306798000000000095e-03
7.102112000000000080e+03 2.331960000000000109e-03
7.102220000000000255e+03 2.624476000000000152e-03
