energy intensity
7.089873999999999796e+03 3.337263499999999772e-03
7.089875000000000000e+03 4.477690999999999789e-03
7.089899000000000342e+03 2.792408000000000130e-03
7.089970000000000255e+03 3.986314000000000350e-03
7.090059000000000196e+03 2.572496000000000071e-03
7.090156999999999243e+03 3.540779999999999882e-03
7.090260000000000218e+03 3.461338999999999909e-03
7.090363000000000284e+03 2.655222999999999958e-03
7.090469000000000051e+03 3.860680999999999922e-03
7.090568000000000211e+03 1.299175999999999977e-03
7.090671000000000276e+03 3.767140999999999892e-03
7.090774999999999636e+03 7.601177999999999884e-04
7.090874000000000706e+03 2.237935999999999832e-03
7.090976000000000568e+03 2.596960000000000154e-04
7.091071999999999207e+03 1.485385999999999998e-03
7.091168999999999869e+03 3.596715999999999802e-03
7.091266999999999825e+03 2.278838999999999951e-03
7.091358999999999469e+03 4.854334000000000079e-03
7.091456000000000131e+03 4.867357000000000107e-03
7.091551999999999680e+03 1.662125000000000082e-04
7.091650999999999840e+03 1.802276999999999916e-03
7.091751999999999498e+03 5.525703000000000515e-04
7.091846999999999753e+03 3.728447000000000185e-03
7.091947000000000116e+03 2.706735000000000044e-03
7.092042000000000371e+03 -1.618330000000000072e-04
7.092141999999999825e+03 -1.723058999999999997e-05
7.092246000000000095e+03 2.794743000000000140e-03
7.092346000000000458e+03 -1.932328000000000084e-03
7.092451999999999316e+03 2.060780999999999811e-03
7.092552999999999884e+03 1.070165000000000092e-03
7.092655999999999949e+03 8.620009000000000091e-04
7.092755999999999403e+03 -5.312313999999999838e-04
7.092856000000000677e+03 2.518809999999999799e-03
7.092961000000000240e+03 3.383426000000000142e-03
7.093057999999999993e+03 3.589654999999999973e-04
7.093153000000000247e+03 3.645549000000000098e-03
7.093247999999999593e+03 2.614163000000000077e-03
7.093344000000000051e+03 -4.113276999999999819e-04
7.093445999999999913e+03 1.853148999999999899e-03
7.093545000000000073e+03 -4.157311000000000339e-03
7.093646999999999935e+03 -1.717619000000000090e-03
7.093746000000000095e+03 -2.014679000000000123e-03
7.093842000000000553e+03 -1.855805000000000085e-03
7.093943999999999505e+03 4.895169000000000430e-04
7.094042000000000371e+03 -1.492786999999999977e-03
7.094147999999999229e+03 -8.183812000000000378e-04
7.094252000000000407e+03 -3.020032000000000185e-03
7.094358000000000175e+03 -1.668442999999999923e-03
7.094463999999999942e+03 -1.230002000000000005e-03
7.094563000000000102e+03 -1.307481000000000095e-03
7.094668999999999869e+03 4.027716999999999777e-04
7.094774000000000342e+03 -4.182860000000000050e-03
7.094877999999999702e+03 9.978776999999999005e-04
7.094981999999999971e+03 -4.278104999999999929e-03
7.095078000000000429e+03 1.447071999999999985e-03
7.095177999999999884e+03 -1.418928000000000073e-03
7.095273999999999432e+03 -1.274654999999999972e-03
7.095373000000000502e+03 -1.384025000000000099e-03
7.095475999999999658e+03 -2.283786999999999796e-03
7.095573999999999614e+03 -6.113242999999999976e-04
7.095679999999999382e+03 -1.043775999999999949e-03
7.095778000000000247e+03 2.383840999999999933e-04
7.095875999999999294e+03 -8.888881000000000386e-04
7.095975000000000364e+03 -1.962059999999999846e-03
7.096072999999999411e+03 9.973286000000000043e-04
7.096180999999999585e+03 -5.799979000000000245e-03
7.096287000000000262e+03 -3.172855999999999940e-03
7.096390000000000327e+03 -1.006327000000000003e-03
7.096489999999999782e+03 -5.129031000000000041e-03
7.096587999999999738e+03 -1.533403999999999930e-03
7.096693000000000211e+03 -1.779191000000000062e-03
7.096795000000000073e+03 -1.791966000000000088e-03
7.096895999999999731e+03 -3.755061000000000076e-03
7.096994999999999891e+03 -2.002804999999999863e-03
7.097089000000000851e+03 1.041236000000000071e-03
7.097185999999999694e+03 9.413102999999999922e-04
7.097279000000000451e+03 -2.039792999999999869e-04
7.097375999999999294e+03 -2.617466000000000150e-03
7.097476000000000568e+03 7.220923000000000185e-04
7.097576000000000022e+03 -4.191537999999999861e-03
7.097680000000000291e+03 -1.663980000000000016e-03
7.097775999999999840e+03 -2.619086000000000070e-03
7.097872999999999593e+03 -5.125494999999999877e-03
7.097971000000000458e+03 -3.993557000000000010e-03
7.098072000000000116e+03 -2.271976000000000204e-03
7.098179000000000087e+03 2.317402999999999943e-04
7.098279999999999745e+03 -4.655356000000000251e-03
7.098385000000000218e+03 -2.539061000000000009e-03
7.098487000000000080e+03 -3.562909999999999862e-03
7.098586000000000240e+03 8.527709999999999707e-05
7.098692000000000007e+03 5.397591999999999668e-04
7.098791000000000167e+03 -1.182464999999999948e-03
7.098893999999999323e+03 7.919978999999999951e-04
7.098995000000000800e+03 -4.577002000000000154e-03
7.099090000000000146e+03 1.869523999999999958e-04
7.099186999999999898e+03 -1.769029000000000088e-03
7.099280999999999949e+03 -3.935372000000000349e-03
7.099382000000000517e+03 -3.487894000000000064e-03
7.099484999999999673e+03 -3.504216000000000102e-03
7.099586000000000240e+03 -2.832646000000000187e-04
7.099690999999999804e+03 -3.701575999999999825e-03
7.099788000000000466e+03 -2.698218000000000057e-03
7.099890000000000327e+03 -2.281744999999999954e-03
7.099990999999999985e+03 -2.142019000000000215e-03
7.100092999999999847e+03 -4.869642999999999888e-03
7.100202999999999520e+03 -3.251392999999999991e-03
7.100307999999999993e+03 8.955845000000000038e-04
7.100414999999999964e+03 -3.161624999999999939e-03
7.100518000000000029e+03 -3.417887000000000095e-03
7.100619999999999891e+03 -3.250873000000000044e-03
7.100725999999999658e+03 -3.770669999999999838e-03
7.100827999999999520e+03 -2.977659000000000122e-03
7.100932000000000698e+03 -3.767398999999999835e-03
7.101028999999999542e+03 -2.539926000000000076e-03
7.101125000000000000e+03 -5.013064000000000235e-03
7.101225000000000364e+03 -4.541195999999999948e-03
7.101322000000000116e+03 -3.655888999999999840e-03
7.101426000000000386e+03 -1.493462000000000088e-03
7.101524999999999636e+03 -2.316713000000000192e-03
7.101625000000000000e+03 -1.281983999999999901e-03
7.101727999999999156e+03 -2.599409000000000008e-03
7.101823000000000320e+03 -4.222514000000000128e-03
7.101923999999999978e+03 -2.627646999999999882e-03
7.102023000000000138e+03 -1.408586999999999990e-03
7.102127000000000407e+03 -3.654572000000000029e-03
7.102234000000000378e+03 -1.988942000000000054e-03
7.102333999999999833e+03 -2.220077999999999895e-03
7.102435999999999694e+03 2.114686000000000170e-03
7.102534999999999854e+03 -3.343225999999999924e-03
7.102636999999999716e+03 -2.801844999999999856e-03
7.102740999999999985e+03 -6.154576999999999617e-03
7.102838000000000648e+03 -2.947856999999999908e-03
7.102938000000000102e+03 6.643858999999999572e-04
7.103032000000000153e+03 -1.459833000000000007e-03
7.103126999999999498e+03 -9.299399999999999767e-04
7.103226000000000568e+03 -5.108520000000000075e-04
7.103322000000000116e+03 -3.422450000000000058e-03
7.103425999999999476e+03 -4.623122000000000342e-03
7.103525000000000546e+03 -2.357051000000000198e-03
7.103623999999999796e+03 -4.860870000000000100e-04
7.103721000000000458e+03 -5.910074999999999877e-03
7.103817000000000007e+03 -9.180830000000000663e-05
7.103920999999999367e+03 -5.074529999999999839e-03
7.104020000000000437e+03 -2.401975000000000204e-03
7.104125000000000000e+03 -3.560494999999999893e-03
7.104229000000000269e+03 -1.987354000000000204e-03
7.104329999999999927e+03 4.117292999999999951e-04
7.104435999999999694e+03 -2.146547999999999967e-04
7.104536000000000058e+03 5.314058999999999667e-04
7.104637999999999920e+03 -2.110007000000000115e-03
7.104742000000000189e+03 -2.830566000000000072e-03
7.104840000000000146e+03 7.937689000000000160e-04
7.104940999999999804e+03 -2.239413999999999901e-03
7.105036000000000058e+03 -3.047663999999999842e-03
7.105133000000000720e+03 -4.161574999999999823e-03
7.105233000000000175e+03 3.691876000000000185e-03
7.105331999999999425e+03 -2.130869999999999986e-03
7.105438000000000102e+03 -1.847406999999999912e-03
7.105537000000000262e+03 -1.794241000000000022e-03
7.105637999999999920e+03 -2.923766999999999859e-03
7.105737000000000080e+03 3.976720999999999902e-04
7.105835000000000036e+03 -3.215046999999999957e-03
7.105940999999999804e+03 3.197797999999999960e-03
7.106042999999999665e+03 -2.971667999999999792e-03
7.106149000000000342e+03 -3.997139000000000247e-03
7.106253999999999905e+03 8.647957000000000387e-04
7.106356999999999971e+03 -4.793865999999999817e-04
7.106461000000000240e+03 -8.801154000000000540e-05
7.106563000000000102e+03 -1.660180999999999940e-03
7.106668999999999869e+03 2.657883000000000207e-03
7.106770999999999731e+03 -1.117500999999999992e-04
7.106867000000000189e+03 -1.055343000000000036e-03
7.106966000000000349e+03 1.866344000000000100e-05
7.107059999999999491e+03 -1.866477000000000067e-03
7.107159000000000560e+03 1.599072999999999901e-03
7.107257999999999811e+03 -1.039392000000000094e-03
7.107356000000000677e+03 7.428889000000000152e-03
7.107457000000000335e+03 -1.537905999999999909e-03
7.107551999999999680e+03 -2.114712000000000091e-04
7.107653000000000247e+03 1.954163000000000081e-03
7.107750000000000000e+03 4.673446999999999844e-03
7.107846000000000458e+03 2.825572000000000153e-03
7.107947000000000116e+03 -9.796027999999999648e-05
7.108047999999999774e+03 6.106582000000000156e-03
7.108153999999999542e+03 1.498075999999999987e-04
7.108255000000000109e+03 3.929102999999999762e-03
7.108354000000000269e+03 5.403027999999999824e-03
7.108456000000000131e+03 4.196949000000000166e-03
7.108556999999999789e+03 3.660533000000000103e-03
7.108661000000000058e+03 3.632073999999999893e-03
7.108760000000000218e+03 9.167770999999999906e-03
7.108854000000000269e+03 5.354761000000000416e-03
7.108952999999999520e+03 6.347010999999999625e-03
7.109045000000000073e+03 8.607431999999999930e-03
7.109143000000000029e+03 6.603030999999999658e-03
7.109240999999999985e+03 7.295026999999999935e-03
7.109338999999999942e+03 6.331365000000000257e-03
7.109441000000000713e+03 6.566251000000000379e-03
7.109534999999999854e+03 2.880885000000000130e-03
7.109634000000000015e+03 1.005440999999999974e-02
7.109730999999999767e+03 1.135335999999999984e-02
7.109829999999999927e+03 1.164697999999999949e-02
7.109936000000000604e+03 1.104303000000000055e-02
7.110039000000000669e+03 1.428449000000000038e-02
7.110143000000000029e+03 1.446529000000000044e-02
7.110243999999999687e+03 1.016093000000000031e-02
7.110344999999999345e+03 1.879068000000000058e-02
7.110449999999999818e+03 1.389078000000000014e-02
7.110553000000000793e+03 1.910382999999999873e-02
7.110658000000000357e+03 1.948402999999999941e-02
7.110757999999999811e+03 1.920111000000000040e-02
7.110854999999999563e+03 2.355722999999999845e-02
7.110954000000000633e+03 1.969981000000000163e-02
7.111047000000000480e+03 2.480020999999999962e-02
7.111150000000000546e+03 2.822467999999999852e-02
7.111251000000000204e+03 2.922931000000000140e-02
7.111351999999999862e+03 3.780707999999999985e-02
7.111456000000000131e+03 3.925064999999999804e-02
7.111551999999999680e+03 4.409268000000000215e-02
7.111650999999999840e+03 4.407210000000000294e-02
7.111751000000000204e+03 5.513450000000000295e-02
7.111855000000000473e+03 5.824718000000000256e-02
7.111961000000000240e+03 7.361829000000000289e-02
7.112063000000000102e+03 7.933888000000000051e-02
7.112170000000000073e+03 9.039042999999999384e-02
7.112270999999999731e+03 1.087026999999999993e-01
7.112371999999999389e+03 1.041098000000000023e-01
7.112475999999999658e+03 1.239753999999999995e-01
7.112576000000000022e+03 1.244547000000000014e-01
7.112681000000000495e+03 1.276239999999999875e-01
7.112780999999999949e+03 1.350065000000000015e-01
7.112872999999999593e+03 1.265824000000000116e-01
7.112966000000000349e+03 1.274928999999999923e-01
7.113059999999999491e+03 1.146947999999999995e-01
7.113163000000000466e+03 1.102375000000000022e-01
7.113261999999999716e+03 1.013982999999999968e-01
7.113362000000000080e+03 9.493733999999999507e-02
7.113461000000000240e+03 8.935041999999999984e-02
7.113554000000000087e+03 8.391071999999999420e-02
7.113652000000000044e+03 8.556597999999999982e-02
7.113749000000000706e+03 7.752140000000000419e-02
7.113849000000000160e+03 7.548744999999999761e-02
7.113953999999999724e+03 7.425344000000000388e-02
7.114055999999999585e+03 7.239468999999999765e-02
7.114161000000000058e+03 6.916524000000000283e-02
7.114260999999999513e+03 7.395633999999999542e-02
7.114359000000000378e+03 7.197536000000000211e-02
7.114461999999999534e+03 7.117553000000000074e-02
7.114561999999999898e+03 7.430058000000000495e-02
7.114665999999999258e+03 7.740315999999999863e-02
7.114760999999999513e+03 6.849605000000000277e-02
7.114855999999999767e+03 7.298689999999999345e-02
7.114951000000000022e+03 7.016978999999999578e-02
7.115045000000000073e+03 7.615025999999999740e-02
7.115145000000000437e+03 6.415408999999999695e-02
7.115243000000000393e+03 7.257234999999999381e-02
7.115344000000000051e+03 7.393995000000000428e-02
7.115446999999999207e+03 7.620040000000000147e-02
7.115542999999999665e+03 7.854811000000000432e-02
7.115641999999999825e+03 7.571390999999999538e-02
7.115738999999999578e+03 8.310847999999999847e-02
7.115841999999999643e+03 8.206510000000000193e-02
7.115948000000000320e+03 8.583567000000000280e-02
7.116051999999999680e+03 8.900025999999999771e-02
7.116158999999999651e+03 9.983152000000000692e-02
7.116259999999999309e+03 1.033015000000000044e-01
7.116363999999999578e+03 1.131646000000000041e-01
7.116467999999999847e+03 1.165455999999999992e-01
7.116569000000000415e+03 1.189896000000000009e-01
7.116673999999999978e+03 1.315182000000000018e-01
7.116771999999999935e+03 1.435230000000000117e-01
7.116869999999999891e+03 1.540777999999999870e-01
7.116965999999999440e+03 1.680281000000000136e-01
7.117060999999999694e+03 1.884888999999999870e-01
7.117164999999999964e+03 2.082971999999999879e-01
7.117265999999999622e+03 2.140129000000000059e-01
7.117368999999999687e+03 2.462399000000000115e-01
7.117469000000000051e+03 2.648197999999999941e-01
7.117564999999999600e+03 2.828678000000000026e-01
7.117667999999999665e+03 3.074200999999999739e-01
7.117766999999999825e+03 3.216112999999999889e-01
7.117871000000000095e+03 3.647335999999999911e-01
7.117975999999999658e+03 3.839801999999999937e-01
7.118076000000000022e+03 4.108223999999999765e-01
7.118184000000000196e+03 4.551696000000000075e-01
7.118283999999999651e+03 4.856274999999999897e-01
7.118384000000000015e+03 5.292919000000000374e-01
7.118483000000000175e+03 5.637008999999999492e-01
7.118579999999999927e+03 6.020834000000000463e-01
7.118681999999999789e+03 6.039284000000000319e-01
7.118777000000000044e+03 6.594041000000000485e-01
7.118871999999999389e+03 6.690390000000000503e-01
7.118966000000000349e+03 6.918731000000000186e-01
7.119060000000000400e+03 7.218790999999999958e-01
7.119162000000000262e+03 7.446483999999999881e-01
7.119259000000000015e+03 7.389736999999999556e-01
7.119356999999999971e+03 7.492147000000000112e-01
7.119454999999999927e+03 7.444416000000000366e-01
7.119550000000000182e+03 7.545222999999999791e-01
7.119650999999999840e+03 7.599204000000000514e-01
7.119748000000000502e+03 7.547192999999999818e-01
7.119849999999999454e+03 7.545897000000000299e-01
7.119953999999999724e+03 7.663896999999999515e-01
7.120054999999999382e+03 7.684716000000000324e-01
7.120159000000000560e+03 7.441212999999999855e-01
7.120256000000000313e+03 7.663408999999999915e-01
7.120358999999999469e+03 7.690166999999999975e-01
7.120460999999999331e+03 7.711557999999999469e-01
7.120557999999999993e+03 7.824740000000000029e-01
7.120658999999999651e+03 7.836140000000000327e-01
7.120752000000000407e+03 7.836087000000000469e-01
7.120849000000000160e+03 7.939692000000000416e-01
7.120945999999999913e+03 7.978705999999999854e-01
7.121042000000000371e+03 7.926423999999999692e-01
7.121144000000000233e+03 8.082513999999999532e-01
7.121242999999999483e+03 8.120498000000000438e-01
7.121343000000000757e+03 8.129157000000000188e-01
7.121442000000000007e+03 8.139956999999999887e-01
7.121537000000000262e+03 8.380315000000000403e-01
7.121639000000000124e+03 8.197282000000000179e-01
7.121739999999999782e+03 8.280752000000000113e-01
7.121846999999999753e+03 8.530887999999999805e-01
7.121953000000000429e+03 8.541163999999999978e-01
7.122052999999999884e+03 8.804119000000000250e-01
7.122158999999999651e+03 8.743853000000000320e-01
7.122260000000000218e+03 8.783864999999999590e-01
7.122365999999999985e+03 8.891801999999999762e-01
7.122470000000000255e+03 8.985693999999999626e-01
7.122569000000000415e+03 9.129479999999999817e-01
7.122671000000000276e+03 9.054697999999999913e-01
7.122766999999999825e+03 9.304200000000000248e-01
7.122863999999999578e+03 9.403087999999999447e-01
