energy intensity
7.090000000000000000e+03 2.778735999999999966e-03
7.090300000000000182e+03 -9.061711999999999545e-03
7.090699999999999818e+03 -5.895537000000000173e-03
7.091000000000000000e+03 4.720351999999999708e-03
7.091300000000000182e+03 -1.967594999999999934e-03
7.091699999999999818e+03 1.425597999999999926e-03
7.092000000000000000e+03 -1.975895000000000082e-03
7.092300000000000182e+03 -3.304739000000000114e-03
7.092699999999999818e+03 5.435419000000000361e-03
7.093000000000000000e+03 -3.514632999999999863e-04
7.093300000000000182e+03 1.151517999999999986e-02
7.093699999999999818e+03 -6.561909000000000318e-03
7.094000000000000000e+03 4.206997999999999988e-03
7.094300000000000182e+03 -1.406479000000000062e-02
7.094699999999999818e+03 -9.555683000000000579e-03
7.095000000000000000e+03 7.692107999999999585e-03
7.095300000000000182e+03 3.856464999999999893e-03
7.095699999999999818e+03 -8.952863999999999614e-03
7.096000000000000000e+03 8.422103999999999702e-03
7.096300000000000182e+03 1.075343999999999953e-02
7.096699999999999818e+03 6.538205000000000058e-03
7.097000000000000000e+03 -7.895104999999999484e-03
7.097300000000000182e+03 -3.932945000000000191e-03
7.097699999999999818e+03 2.579114999999999880e-03
7.098000000000000000e+03 5.711255000000000151e-03
7.098300000000000182e+03 3.096559000000000030e-03
7.098699999999999818e+03 -6.307644999999999745e-03
7.099000000000000000e+03 7.579937999999999607e-03
7.099300000000000182e+03 -8.786726000000000345e-04
7.099699999999999818e+03 1.225588000000000025e-02
7.100000000000000000e+03 -9.708961000000000327e-03
7.100300000000000182e+03 1.390492999999999937e-02
7.100699999999999818e+03 4.892618999999999961e-03
7.101000000000000000e+03 -4.081256999999999593e-03
7.101300000000000182e+03 -1.903521999999999940e-03
7.101699999999999818e+03 -5.966891000000000209e-03
7.102000000000000000e+03 -1.419543000000000020e-02
7.102300000000000182e+03 -1.662609999999999913e-03
7.102699999999999818e+03 -6.806429999999999599e-03
7.103000000000000000e+03 -1.208071999999999965e-02
7.103300000000000182e+03 -1.319133999999999932e-02
7.103699999999999818e+03 2.807274999999999918e-04
7.104000000000000000e+03 -2.752275000000000207e-03
7.104300000000000182e+03 3.264262999999999887e-03
7.104699999999999818e+03 2.004142999999999897e-03
7.105000000000000000e+03 2.020216999999999933e-03
7.105300000000000182e+03 4.969614000000000019e-04
7.105699999999999818e+03 -1.774632000000000054e-04
7.106000000000000000e+03 -3.126120999999999935e-03
7.106300000000000182e+03 1.266939000000000086e-02
7.106699999999999818e+03 -5.950346999999999928e-03
7.107000000000000000e+03 1.162570999999999917e-02
7.107300000000000182e+03 5.126437000000000181e-03
7.107699999999999818e+03 2.897246000000000023e-03
7.108000000000000000e+03 -1.253891000000000033e-02
7.108300000000000182e+03 1.797297000000000000e-03
7.108699999999999818e+03 1.053768000000000066e-02
7.109000000000000000e+03 -1.221959000000000066e-02
7.109300000000000182e+03 3.035194000000000173e-03
7.109699999999999818e+03 6.554640000000000249e-04
7.110000000000000000e+03 1.577484999999999998e-02
7.110300000000000182e+03 1.057835000000000025e-03
7.110699999999999818e+03 4.636407999999999849e-03
7.111000000000000000e+03 1.307674999999999983e-02
7.111300000000000182e+03 -8.870215999999999778e-04
7.111699999999999818e+03 2.819611999999999986e-03
7.112000000000000000e+03 2.012194000000000135e-02
7.112300000000000182e+03 3.061277999999999916e-02
7.112699999999999818e+03 3.947086000000000344e-02
7.113000000000000000e+03 4.580842000000000247e-02
7.113300000000000182e+03 6.679991000000000401e-02
7.113699999999999818e+03 1.109274999999999983e-01
7.114000000000000000e+03 1.403009000000000062e-01
7.114300000000000182e+03 1.667500000000000093e-01
7.114699999999999818e+03 1.802592000000000083e-01
7.115000000000000000e+03 1.631336999999999926e-01
7.115300000000000182e+03 1.400990000000000013e-01
7.115699999999999818e+03 8.646120000000000194e-02
7.116000000000000000e+03 8.261277000000000204e-02
7.116300000000000182e+03 5.972626999999999797e-02
7.116699999999999818e+03 4.414363999999999788e-02
7.117000000000000000e+03 4.460129000000000177e-02
7.117300000000000182e+03 5.774417999999999912e-02
7.117699999999999818e+03 5.279703000000000174e-02
7.118000000000000000e+03 6.158051999999999970e-02
7.118300000000000182e+03 7.242434999999999845e-02
7.118699999999999818e+03 7.370606000000000380e-02
7.119000000000000000e+03 7.925107000000000679e-02
