energy intensity
6.860760000000000218e+03 3.399857799999999892e-03
6.870729999999999563e+03 3.005206699999999828e-02
6.880720000000000255e+03 2.073717099999999869e-02
6.890750000000000000e+03 1.531135999999999955e-02
6.900810000000000400e+03 1.187920299999999964e-02
6.910789999999999964e+03 9.319600699999999738e-03
6.920789999999999964e+03 -3.526233900000000018e-03
6.930720000000000255e+03 5.667203099999999598e-03
6.940779999999999745e+03 4.680757899999999673e-03
6.950770000000000437e+03 2.004833399999999839e-03
6.960779999999999745e+03 5.158341599999999652e-04
6.970829999999999927e+03 -1.944080300000000042e-03
6.980789999999999964e+03 -6.196351699999999921e-03
6.990770000000000437e+03 -4.595802500000000131e-03
7.000789999999999964e+03 -6.183459199999999725e-03
7.010729999999999563e+03 -4.075978400000000203e-03
7.020810000000000400e+03 -5.213207499999999821e-03
7.030800000000000182e+03 -4.423045900000000322e-03
7.040819999999999709e+03 -3.858077899999999994e-03
7.050760000000000218e+03 -2.499924399999999859e-03
7.060720000000000255e+03 -3.448251900000000141e-03
7.061779999999999745e+03 -6.257468399999999674e-03
7.062369999999999891e+03 -4.996572099999999940e-03
7.062949999999999818e+03 -2.801455799999999843e-03
7.063539999999999964e+03 -2.366504599999999948e-03
7.064130000000000109e+03 -3.351999100000000072e-03
7.064720000000000255e+03 -2.055073100000000177e-03
7.065310000000000400e+03 -3.301929700000000127e-03
7.065890000000000327e+03 -3.221949899999999867e-03
7.066479999999999563e+03 -4.425677499999999993e-03
7.067069999999999709e+03 -4.350426899999999993e-03
7.067659999999999854e+03 -2.928777799999999869e-03
7.068250000000000000e+03 -2.269889599999999966e-03
7.068829999999999927e+03 -2.445508299999999986e-03
7.069420000000000073e+03 -3.384183399999999946e-03
7.070010000000000218e+03 -2.805603199999999898e-03
7.070600000000000364e+03 -2.979228500000000168e-03
7.071189999999999600e+03 -1.161838799999999946e-03
7.071779999999999745e+03 -1.923779200000000095e-03
7.072369999999999891e+03 -2.388130400000000163e-03
7.072960000000000036e+03 -2.037841299999999974e-03
7.073539999999999964e+03 -3.373716200000000196e-03
7.074130000000000109e+03 -3.044116899999999796e-03
7.074720000000000255e+03 -2.888562300000000003e-03
7.075310000000000400e+03 -1.698326399999999922e-03
7.075899999999999636e+03 -1.653945100000000015e-03
7.076489999999999782e+03 -7.835906599999999350e-05
7.077079999999999927e+03 5.505236200000000442e-04
7.077670000000000073e+03 -1.098862400000000011e-04
7.078260000000000218e+03 5.646459200000000225e-04
7.078850000000000364e+03 2.201713799999999892e-04
7.079439999999999600e+03 -2.613358300000000081e-04
7.080029999999999745e+03 -1.546518700000000003e-04
7.080619999999999891e+03 -7.754877700000000103e-04
7.081210000000000036e+03 1.777391400000000101e-04
7.081800000000000182e+03 -1.701413099999999907e-04
7.082399999999999636e+03 -2.221234199999999950e-03
7.082989999999999782e+03 3.138996499999999754e-04
7.083579999999999927e+03 1.321532399999999965e-03
7.084170000000000073e+03 1.758978499999999971e-03
7.084760000000000218e+03 1.533094299999999922e-03
7.085350000000000364e+03 5.959938899999999784e-04
7.085939999999999600e+03 5.160368499999999550e-04
7.086529999999999745e+03 9.014526300000000455e-04
7.087119999999999891e+03 7.023293000000000182e-06
7.087720000000000255e+03 1.249234299999999994e-03
7.088310000000000400e+03 1.662265900000000100e-03
7.088899999999999636e+03 3.091009200000000099e-03
7.089489999999999782e+03 2.331917399999999894e-03
7.090079999999999927e+03 5.499134899999999580e-04
7.090680000000000291e+03 3.452001100000000149e-03
7.091270000000000437e+03 4.670827300000000327e-03
7.091859999999999673e+03 4.855857899999999755e-03
7.092449999999999818e+03 3.626209000000000029e-03
7.093050000000000182e+03 4.234746400000000306e-03
7.093640000000000327e+03 1.841579699999999894e-03
7.094229999999999563e+03 2.808528600000000010e-03
7.094819999999999709e+03 2.363188600000000212e-03
7.095420000000000073e+03 3.325129999999999926e-03
7.096010000000000218e+03 4.737749700000000105e-03
7.096600000000000364e+03 5.060862699999999978e-03
7.097199999999999818e+03 5.903214199999999579e-03
7.097789999999999964e+03 5.868894900000000241e-03
7.098380000000000109e+03 5.374134299999999698e-03
7.098979999999999563e+03 6.812812399999999824e-03
7.099569999999999709e+03 7.499412700000000244e-03
7.100170000000000073e+03 8.066959800000000555e-03
7.100760000000000218e+03 8.696259099999999187e-03
7.101350000000000364e+03 9.279074999999999476e-03
7.101949999999999818e+03 1.093754599999999938e-02
7.102539999999999964e+03 1.016142100000000034e-02
7.103140000000000327e+03 1.043720199999999959e-02
7.103729999999999563e+03 1.026778499999999976e-02
7.104329999999999927e+03 1.147087500000000017e-02
7.104920000000000073e+03 1.355639800000000075e-02
7.105510000000000218e+03 1.474398300000000044e-02
7.106109999999999673e+03 1.362695700000000031e-02
7.106699999999999818e+03 1.479682400000000009e-02
7.107300000000000182e+03 1.472292199999999940e-02
7.107890000000000327e+03 1.597092699999999935e-02
7.108489999999999782e+03 1.715093800000000099e-02
7.109090000000000146e+03 2.073902000000000037e-02
7.109680000000000291e+03 2.366007800000000105e-02
7.110279999999999745e+03 2.743307899999999910e-02
7.110869999999999891e+03 3.258123200000000164e-02
7.111470000000000255e+03 4.325705900000000048e-02
7.112060000000000400e+03 6.044851799999999969e-02
7.112659999999999854e+03 7.244651400000000352e-02
7.113260000000000218e+03 7.340451600000000298e-02
7.113850000000000364e+03 6.926069199999999870e-02
7.114449999999999818e+03 6.767000099999999352e-02
7.115050000000000182e+03 6.630928599999999506e-02
7.115640000000000327e+03 6.876720199999999950e-02
7.116239999999999782e+03 8.082581599999999478e-02
7.116840000000000146e+03 1.008755699999999977e-01
7.117430000000000291e+03 1.388158100000000117e-01
7.118029999999999745e+03 1.966630299999999887e-01
7.118630000000000109e+03 2.781118200000000096e-01
7.119220000000000255e+03 3.865240400000000132e-01
7.119819999999999709e+03 5.113526999999999934e-01
7.120420000000000073e+03 6.277047300000000440e-01
7.121020000000000437e+03 7.204406399999999655e-01
7.121609999999999673e+03 7.860813899999999910e-01
7.122210000000000036e+03 8.334242899999999565e-01
7.122810000000000400e+03 8.780590700000000526e-01
7.123409999999999854e+03 9.277489100000000377e-01
7.124000000000000000e+03 9.872064499999999576e-01
7.124600000000000364e+03 1.056746299999999916e+00
7.125199999999999818e+03 1.123985400000000023e+00
7.125800000000000182e+03 1.183025800000000016e+00
7.126399999999999636e+03 1.222858299999999954e+00
7.127000000000000000e+03 1.244288099999999897e+00
7.127590000000000146e+03 1.255690399999999984e+00
7.128189999999999600e+03 1.257095599999999980e+00
7.128789999999999964e+03 1.252839599999999942e+00
7.129390000000000327e+03 1.247160800000000069e+00
7.129989999999999782e+03 1.243001299999999976e+00
7.130590000000000146e+03 1.235377299999999900e+00
7.131189999999999600e+03 1.225411000000000028e+00
7.131789999999999964e+03 1.210471099999999911e+00
7.132390000000000327e+03 1.193738200000000083e+00
7.132989999999999782e+03 1.183817499999999967e+00
7.133590000000000146e+03 1.169333600000000084e+00
7.134189999999999600e+03 1.153685700000000036e+00
7.134789999999999964e+03 1.139103100000000035e+00
7.135390000000000327e+03 1.124972599999999989e+00
7.135989999999999782e+03 1.111213900000000088e+00
7.136590000000000146e+03 1.099036099999999960e+00
7.137189999999999600e+03 1.091401800000000089e+00
7.137789999999999964e+03 1.081901400000000013e+00
7.138390000000000327e+03 1.073607299999999931e+00
7.138989999999999782e+03 1.065653600000000090e+00
7.139590000000000146e+03 1.058057400000000037e+00
7.140189999999999600e+03 1.048810100000000078e+00
7.140789999999999964e+03 1.041633000000000031e+00
7.141390000000000327e+03 1.037790200000000107e+00
7.141989999999999782e+03 1.032417799999999941e+00
7.142590000000000146e+03 1.022397599999999906e+00
7.143199999999999818e+03 1.013260100000000108e+00
7.143800000000000182e+03 1.005425100000000072e+00
7.144399999999999636e+03 9.970210999999999935e-01
7.145000000000000000e+03 9.857773300000000072e-01
7.145600000000000364e+03 9.770850700000000000e-01
7.146199999999999818e+03 9.684682100000000515e-01
7.146810000000000400e+03 9.582964899999999453e-01
7.147409999999999854e+03 9.502566099999999460e-01
7.148010000000000218e+03 9.429582699999999873e-01
7.148609999999999673e+03 9.324560499999999807e-01
7.149210000000000036e+03 9.260283099999999656e-01
7.149819999999999709e+03 9.205383000000000315e-01
7.150420000000000073e+03 9.147819200000000261e-01
7.151020000000000437e+03 9.098410399999999898e-01
7.151630000000000109e+03 9.052230599999999683e-01
7.152229999999999563e+03 9.007955899999999794e-01
7.152829999999999927e+03 8.999358499999999816e-01
7.153430000000000291e+03 8.960105400000000220e-01
7.154039999999999964e+03 8.951979100000000411e-01
