energy intensity
6.860440999999999804e+03 5.235884700000000350e-03
6.870411000000000058e+03 3.155658699999999706e-02
6.880400999999999840e+03 2.039554699999999998e-02
6.890430999999999585e+03 1.591800300000000001e-02
6.900490999999999985e+03 1.211632600000000018e-02
6.910470999999999549e+03 6.664551399999999598e-03
6.920470999999999549e+03 -1.990473300000000084e-03
6.930400999999999840e+03 3.120835399999999892e-03
6.940461000000000240e+03 -1.329200700000000021e-03
6.950451000000000022e+03 7.151134400000000099e-03
6.960461000000000240e+03 2.865964700000000163e-03
6.970511000000000422e+03 -2.310085099999999950e-03
6.980470999999999549e+03 -5.977060200000000253e-03
6.990451000000000022e+03 -7.496420299999999835e-03
7.000470999999999549e+03 -2.289574999999999857e-03
7.010411000000000058e+03 -7.242357799999999887e-03
7.020490999999999985e+03 -2.868787499999999983e-03
7.030480999999999767e+03 3.865141199999999741e-04
7.040501000000000204e+03 1.381093400000000040e-03
7.050440999999999804e+03 -8.980117600000000339e-03
7.060400999999999840e+03 3.442283700000000213e-03
7.061461000000000240e+03 -3.473997500000000106e-03
7.062051000000000386e+03 -2.703318100000000161e-03
7.062631000000000313e+03 -1.864237400000000062e-03
7.063220999999999549e+03 -4.385939200000000225e-03
7.063810999999999694e+03 -4.940048499999999572e-03
7.064400999999999840e+03 -1.818975399999999938e-03
7.064990999999999985e+03 -8.043211599999999968e-04
7.065570999999999913e+03 -4.333380399999999660e-03
7.066161000000000058e+03 4.891480599999999904e-04
7.066751000000000204e+03 -4.379022699999999581e-03
7.067341000000000349e+03 -5.593065200000000431e-03
7.067930999999999585e+03 -3.167574399999999960e-03
7.068511000000000422e+03 -2.967387699999999955e-03
7.069100999999999658e+03 -3.063453500000000006e-03
7.069690999999999804e+03 -6.506621300000000078e-04
7.070280999999999949e+03 -1.961584499999999894e-03
7.070871000000000095e+03 -4.130462399999999812e-03
7.071461000000000240e+03 -1.952926499999999965e-03
7.072051000000000386e+03 -3.738855299999999798e-03
7.072640999999999622e+03 -4.041958099999999610e-03
7.073220999999999549e+03 -7.776712899999999734e-03
7.073810999999999694e+03 -4.828339699999999873e-03
7.074400999999999840e+03 7.513481399999999725e-04
7.074990999999999985e+03 1.092147699999999931e-03
7.075581000000000131e+03 -4.233895399999999809e-03
7.076171000000000276e+03 -3.236695800000000210e-03
7.076761000000000422e+03 -1.664238599999999946e-03
7.077350999999999658e+03 -2.406938099999999994e-03
7.077940999999999804e+03 -2.452172500000000029e-03
7.078530999999999949e+03 -4.770160300000000171e-04
7.079121000000000095e+03 1.628918399999999952e-03
7.079711000000000240e+03 3.278274800000000131e-03
7.080301000000000386e+03 4.684884299999999939e-03
7.080890999999999622e+03 -1.526398499999999945e-03
7.081480999999999767e+03 -3.851742899999999886e-03
7.082081000000000131e+03 -2.131072500000000085e-03
7.082671000000000276e+03 1.049853400000000034e-03
7.083261000000000422e+03 1.850266500000000104e-03
7.083850999999999658e+03 -2.440411200000000037e-03
7.084440999999999804e+03 3.998133800000000342e-03
7.085030999999999949e+03 3.674778499999999809e-03
7.085621000000000095e+03 1.034457900000000001e-03
7.086211000000000240e+03 3.704780700000000204e-03
7.086801000000000386e+03 -3.437861299999999732e-04
7.087400999999999840e+03 1.287039499999999975e-03
7.087990999999999985e+03 1.846459800000000004e-03
7.088581000000000131e+03 1.261741299999999920e-03
7.089171000000000276e+03 2.990893100000000145e-03
7.089761000000000422e+03 3.955796400000000275e-03
7.090360999999999876e+03 1.761394699999999916e-03
7.090951000000000022e+03 2.640935300000000173e-03
7.091541000000000167e+03 -1.096542500000000013e-05
7.092131000000000313e+03 2.995179299999999826e-03
7.092730999999999767e+03 3.462704899999999916e-03
7.093320999999999913e+03 3.009142900000000113e-03
7.093911000000000058e+03 2.861826100000000074e-03
7.094501000000000204e+03 2.293355400000000096e-03
7.095100999999999658e+03 5.272518900000000217e-03
7.095690999999999804e+03 3.265968399999999872e-03
7.096280999999999949e+03 3.427122400000000031e-03
7.096881000000000313e+03 5.835913499999999601e-03
7.097470999999999549e+03 4.095471499999999571e-03
7.098060999999999694e+03 6.377276599999999636e-03
7.098661000000000058e+03 7.073321300000000138e-03
7.099251000000000204e+03 4.332933899999999623e-03
7.099850999999999658e+03 3.422941599999999862e-03
7.100440999999999804e+03 9.651613399999999995e-03
7.101030999999999949e+03 9.670325999999999922e-03
7.101631000000000313e+03 1.052981499999999966e-02
7.102220999999999549e+03 6.771952900000000226e-03
7.102820999999999913e+03 5.626832800000000287e-03
7.103411000000000058e+03 1.021805200000000004e-02
7.104011000000000422e+03 6.578987399999999819e-03
7.104600999999999658e+03 1.238668300000000076e-02
7.105190999999999804e+03 1.326031899999999958e-02
7.105791000000000167e+03 1.026399499999999972e-02
7.106381000000000313e+03 1.391612700000000036e-02
7.106980999999999767e+03 1.559501299999999958e-02
7.107570999999999913e+03 1.135010399999999975e-02
7.108171000000000276e+03 1.539162300000000011e-02
7.108770999999999731e+03 1.635692099999999996e-02
7.109360999999999876e+03 2.283665400000000137e-02
7.109961000000000240e+03 2.534970099999999879e-02
7.110551000000000386e+03 3.235674799999999768e-02
7.111150999999999840e+03 4.497255700000000328e-02
7.111740999999999985e+03 6.076552500000000079e-02
7.112341000000000349e+03 6.629825699999999933e-02
7.112940999999999804e+03 7.335867199999999977e-02
7.113530999999999949e+03 7.690685699999999514e-02
7.114131000000000313e+03 7.247753199999999729e-02
7.114730999999999767e+03 6.806650399999999990e-02
7.115320999999999913e+03 6.928779000000000188e-02
7.115921000000000276e+03 8.402005299999999732e-02
7.116520999999999731e+03 1.058073000000000069e-01
7.117110999999999876e+03 1.521273599999999893e-01
7.117711000000000240e+03 2.059948699999999966e-01
7.118310999999999694e+03 2.808339599999999936e-01
7.118900999999999840e+03 3.792352900000000027e-01
7.119501000000000204e+03 4.840305599999999986e-01
7.120100999999999658e+03 5.655296600000000451e-01
7.120701000000000022e+03 6.360276000000000263e-01
7.121291000000000167e+03 6.830089999999999772e-01
7.121890999999999622e+03 7.375625300000000495e-01
7.122490999999999985e+03 7.821358600000000161e-01
7.123091000000000349e+03 8.500190399999999480e-01
7.123680999999999585e+03 9.116802000000000517e-01
7.124280999999999949e+03 9.819540300000000332e-01
7.124881000000000313e+03 1.036021800000000104e+00
7.125480999999999767e+03 1.081705799999999940e+00
7.126081000000000131e+03 1.117886399999999947e+00
7.126680999999999585e+03 1.147980299999999954e+00
7.127270999999999731e+03 1.166620100000000049e+00
7.127871000000000095e+03 1.174783200000000027e+00
7.128470999999999549e+03 1.183714099999999991e+00
7.129070999999999913e+03 1.193601200000000029e+00
7.129671000000000276e+03 1.187718999999999969e+00
7.130270999999999731e+03 1.182984999999999953e+00
7.130871000000000095e+03 1.185978900000000058e+00
7.131470999999999549e+03 1.182470399999999922e+00
7.132070999999999913e+03 1.171505999999999936e+00
7.132671000000000276e+03 1.163827299999999898e+00
7.133270999999999731e+03 1.153856900000000074e+00
7.133871000000000095e+03 1.140390599999999921e+00
7.134470999999999549e+03 1.132420399999999994e+00
7.135070999999999913e+03 1.118863299999999894e+00
7.135671000000000276e+03 1.112671799999999989e+00
7.136270999999999731e+03 1.102309200000000100e+00
7.136871000000000095e+03 1.096656800000000098e+00
7.137470999999999549e+03 1.094222900000000109e+00
7.138070999999999913e+03 1.086013600000000023e+00
7.138671000000000276e+03 1.079040999999999917e+00
7.139270999999999731e+03 1.076971200000000017e+00
7.139871000000000095e+03 1.070388399999999907e+00
7.140470999999999549e+03 1.059233199999999986e+00
7.141070999999999913e+03 1.048316500000000095e+00
7.141671000000000276e+03 1.042183599999999988e+00
7.142270999999999731e+03 1.035217599999999960e+00
7.142881000000000313e+03 1.025421099999999974e+00
7.143480999999999767e+03 1.021285699999999963e+00
7.144081000000000131e+03 1.015721600000000002e+00
7.144680999999999585e+03 1.006056800000000084e+00
7.145280999999999949e+03 9.915380999999999778e-01
7.145881000000000313e+03 9.866413499999999726e-01
7.146490999999999985e+03 9.824296999999999613e-01
7.147091000000000349e+03 9.701201400000000197e-01
7.147690999999999804e+03 9.611715800000000254e-01
7.148291000000000167e+03 9.469359299999999813e-01
7.148890999999999622e+03 9.438157400000000141e-01
7.149501000000000204e+03 9.386808800000000508e-01
7.150100999999999658e+03 9.322525999999999868e-01
7.150701000000000022e+03 9.243240400000000134e-01
7.151310999999999694e+03 9.171983200000000114e-01
7.151911000000000058e+03 9.207914200000000271e-01
7.152511000000000422e+03 9.118510699999999858e-01
7.153110999999999876e+03 9.088609699999999902e-01
7.153720999999999549e+03 9.018852600000000219e-01
7.154320999999999913e+03 9.041753799999999730e-01
7.154921000000000276e+03 9.029128100000000101e-01
7.155530999999999949e+03 8.986557400000000362e-01
7.156131000000000313e+03 8.995390199999999670e-01
7.156740999999999985e+03 8.955876299999999679e-01
7.157341000000000349e+03 8.980417600000000222e-01
7.157940999999999804e+03 8.975558999999999621e-01
7.158551000000000386e+03 9.000976499999999714e-01
7.159150999999999840e+03 9.001508000000000287e-01
7.159761000000000422e+03 9.036743099999999806e-01
7.160360999999999876e+03 9.057320100000000318e-01
7.160970999999999549e+03 9.035056399999999988e-01
7.161570999999999913e+03 9.021502300000000529e-01
7.162171000000000276e+03 9.117790999999999535e-01
7.162780999999999949e+03 9.095940900000000218e-01
7.163381000000000313e+03 9.142300799999999450e-01
7.163990999999999985e+03 9.185394000000000059e-01
7.164591000000000349e+03 9.235396900000000242e-01
7.165201000000000022e+03 9.281797999999999993e-01
7.165810999999999694e+03 9.254261400000000082e-01
7.166411000000000058e+03 9.267075000000000173e-01
7.167020999999999731e+03 9.317395400000000327e-01
7.167621000000000095e+03 9.276558099999999696e-01
7.168230999999999767e+03 9.354570599999999514e-01
7.168831000000000131e+03 9.406822900000000320e-01
7.169440999999999804e+03 9.427754900000000493e-01
7.170051000000000386e+03 9.464411900000000433e-01
7.170650999999999840e+03 9.501027399999999457e-01
7.171261000000000422e+03 9.573194099999999818e-01
7.171871000000000095e+03 9.598362099999999675e-01
7.172470999999999549e+03 9.659382199999999585e-01
7.173081000000000131e+03 9.713170800000000549e-01
7.173680999999999585e+03 9.729047199999999451e-01
7.174291000000000167e+03 9.749029900000000248e-01
7.174900999999999840e+03 9.859857899999999731e-01
7.175511000000000422e+03 9.840541900000000508e-01
7.176110999999999876e+03 9.869609299999999585e-01
7.176720999999999549e+03 9.857198999999999822e-01
7.177331000000000131e+03 9.883877800000000491e-01
7.177940999999999804e+03 9.913076100000000057e-01
7.178541000000000167e+03 9.928826600000000280e-01
7.179150999999999840e+03 9.907212699999999872e-01
7.179761000000000422e+03 9.929399199999999759e-01
7.180371000000000095e+03 9.923617099999999525e-01
7.180970999999999549e+03 9.995936600000000505e-01
7.181581000000000131e+03 1.000317700000000087e+00
7.182190999999999804e+03 9.993979800000000191e-01
7.182801000000000386e+03 9.938839299999999710e-01
7.183411000000000058e+03 9.994391799999999826e-01
7.184020999999999731e+03 1.012886100000000011e+00
7.185230999999999767e+03 1.012936000000000059e+00
7.185841000000000349e+03 1.009721199999999985e+00
7.186451000000000022e+03 1.003697000000000061e+00
7.187060999999999694e+03 1.009382299999999955e+00
7.187671000000000276e+03 1.009784599999999921e+00
7.188280999999999949e+03 1.013914900000000063e+00
7.188890999999999622e+03 1.013114400000000082e+00
7.189501000000000204e+03 1.012583699999999975e+00
7.190110999999999876e+03 1.010908499999999988e+00
