energy intensity
7.084038300000000163e+03 -2.866278831145270111e-03
7.086436800000000403e+03 -1.662788311453420134e-04
7.088834499999999935e+03 -6.627883114535340625e-05
7.091232299999999668e+03 5.337211688546919693e-04
7.093629799999999705e+03 1.337211688547359958e-04
7.096027399999999943e+03 1.337211688547359958e-04
7.098425100000000384e+03 2.337211688547250095e-04
7.100823400000000220e+03 2.433721168854699989e-03
7.103222499999999854e+03 6.833721168854660355e-03
7.105620100000000093e+03 6.933721168854650209e-03
7.108019299999999930e+03 1.183372116885469949e-02
7.110418899999999667e+03 1.783372116885470135e-02
7.112827800000000025e+03 5.213372116885470198e-02
7.115230899999999565e+03 6.883372116885469461e-02
7.117635699999999815e+03 9.083372116885470027e-02
7.118656399999999849e+03 1.571337211688549895e-01
7.119648900000000140e+03 2.593337211688550026e-01
7.119908199999999852e+03 3.191337211688550224e-01
7.120331699999999728e+03 3.922337211688550207e-01
7.120765999999999622e+03 4.980337211688550259e-01
7.121592899999999645e+03 5.827337211688550234e-01
7.122622400000000198e+03 6.759337211688549729e-01
7.123810900000000402e+03 7.666337211688549758e-01
7.124881900000000314e+03 8.646337211688549518e-01
7.125305599999999686e+03 9.381337211688549615e-01
7.126132599999999911e+03 1.023033721168850052e+00
7.127766400000000431e+03 1.131233721168849904e+00
7.129979599999999664e+03 1.178133721168850068e+00
7.132376199999999699e+03 1.175033721168849965e+00
7.134762399999999616e+03 1.140233721168850023e+00
7.137148299999999836e+03 1.104433721168849969e+00
7.139537199999999757e+03 1.077733721168850023e+00
7.141925199999999677e+03 1.048333721168849930e+00
7.144312200000000303e+03 1.015733721168849968e+00
7.146698900000000322e+03 9.826337211688549456e-01
7.149085000000000036e+03 9.473337211688549475e-01
7.151473699999999553e+03 9.201337211688549456e-01
7.153864700000000084e+03 8.998337211688549608e-01
7.156259699999999611e+03 8.918337211688549537e-01
7.158656500000000051e+03 8.892337211688550180e-01
7.161055900000000292e+03 8.947337211688549674e-01
7.163456000000000131e+03 9.023337211688550186e-01
7.165857299999999668e+03 9.136337211688549953e-01
7.168258300000000418e+03 9.238337211688549822e-01
7.170660200000000259e+03 9.368337211688549937e-01
7.173063600000000406e+03 9.545337211688550427e-01
7.175466000000000349e+03 9.691337211688549891e-01
7.177866600000000290e+03 9.783337211688549750e-01
7.180266400000000431e+03 9.848337211688550363e-01
7.182664499999999862e+03 9.864337211688549711e-01
7.185063799999999901e+03 9.913337211688549866e-01
7.187463999999999942e+03 9.995337211688549717e-01
7.189861499999999978e+03 9.990337211688550267e-01
7.192259299999999712e+03 9.996337211688549607e-01
7.194656799999999748e+03 9.992337211688550047e-01
7.197054100000000290e+03 9.982337211688550038e-01
7.199450300000000425e+03 9.940337211688550223e-01
7.201847099999999955e+03 9.914337211688549756e-01
7.204243400000000292e+03 9.872337211688549941e-01
7.206640099999999620e+03 9.846337211688549473e-01
7.209036500000000160e+03 9.809337211688550218e-01
7.211434199999999691e+03 9.810337211688550108e-01
7.213831699999999728e+03 9.805337211688549548e-01
7.216227700000000368e+03 9.758337211688550283e-01
7.218625000000000000e+03 9.748337211688550275e-01
7.221022700000000441e+03 9.749337211688550164e-01
7.223418899999999667e+03 9.706337211688550459e-01
7.225815899999999601e+03 9.686337211688550441e-01
7.228213499999999840e+03 9.687337211688550331e-01
7.230611200000000281e+03 9.687337211688550331e-01
7.233008799999999610e+03 9.688337211688550221e-01
7.235406500000000051e+03 9.689337211688550111e-01
7.237804100000000290e+03 9.690337211688550001e-01
7.240201799999999821e+03 9.691337211688549891e-01
7.242600099999999657e+03 9.713337211688549688e-01
7.244997099999999591e+03 9.692337211688549781e-01
