energy intensity
7.083879899999999907e+03 2.192907394758829981e-02
7.086277299999999741e+03 2.152907394758829876e-02
7.088673799999999574e+03 1.782907394758830033e-02
7.091069300000000112e+03 1.152907394758830029e-02
7.093465699999999742e+03 7.829073947588270632e-03
7.095861600000000180e+03 2.529073947588270175e-03
7.098260199999999713e+03 5.329073947588270146e-03
7.100658000000000357e+03 5.929073947588269985e-03
7.103054199999999582e+03 1.729073947588270028e-03
7.105451900000000023e+03 1.829073947588270074e-03
7.107848799999999756e+03 -2.709260524117300135e-04
7.110247500000000400e+03 3.029073947588270185e-03
7.112461400000000140e+03 5.212907394758829749e-02
7.113436599999999999e+03 9.132907394758829622e-02
7.114683899999999994e+03 1.274290739475880119e-01
7.115418700000000172e+03 1.493290739475879869e-01
7.117090799999999945e+03 1.559290739475880094e-01
7.119109499999999571e+03 2.191290739475879878e-01
7.119727299999999559e+03 2.754290739475879768e-01
7.120231700000000274e+03 3.513290739475879998e-01
7.120787299999999959e+03 4.618290739475879869e-01
7.121415699999999561e+03 5.504290739475879990e-01
7.122039799999999559e+03 6.258290739475880216e-01
7.123164399999999659e+03 7.044290739475880248e-01
7.124488699999999881e+03 7.826290739475879610e-01
7.125114999999999782e+03 8.648290739475880118e-01
7.125939699999999903e+03 9.427290739475879811e-01
7.126764299999999821e+03 1.020229073947590104e+00
7.127790899999999965e+03 1.104529073947589923e+00
7.129416199999999662e+03 1.186929073947589952e+00
7.131430900000000292e+03 1.237829073947589897e+00
7.133826000000000022e+03 1.229929073947590101e+00
7.136209799999999632e+03 1.187629073947590097e+00
7.138595000000000255e+03 1.149729073947590052e+00
7.140978600000000370e+03 1.106929073947590103e+00
7.143361499999999978e+03 1.062029073947589941e+00
7.145745700000000397e+03 1.020829073947590038e+00
7.148128399999999601e+03 9.754290739475880434e-01
7.150514100000000326e+03 9.390290739475880555e-01
7.152908999999999651e+03 9.305290739475879924e-01
7.155303299999999581e+03 9.204290739475879946e-01
7.157699899999999616e+03 9.173290739475880029e-01
7.160099799999999959e+03 9.243290739475880091e-01
7.162502700000000004e+03 9.405290739475880013e-01
7.164902500000000146e+03 9.470290739475879516e-01
7.167303100000000086e+03 9.562290739475880486e-01
7.169703700000000026e+03 9.654290739475880345e-01
7.172109099999999671e+03 9.890290739475879889e-01
7.174511800000000221e+03 1.004629073947590046e+00
7.176914600000000064e+03 1.020229073947590104e+00
7.179307799999999588e+03 1.006929073947590014e+00
7.181708999999999833e+03 1.017729073947589935e+00
7.184103600000000370e+03 1.008729073947590038e+00
7.186501500000000306e+03 1.009329073947589972e+00
7.188899599999999737e+03 1.011029073947590007e+00
7.191296199999999772e+03 1.007929073947589904e+00
7.193693400000000111e+03 1.006329073947590080e+00
7.196091400000000249e+03 1.007529073947589948e+00
7.198489700000000084e+03 1.009729073947589928e+00
7.200886800000000221e+03 1.008229073947590093e+00
7.203279400000000351e+03 9.927290739475880255e-01
7.205677899999999681e+03 9.955290739475880502e-01
7.208073999999999614e+03 9.907290739475880237e-01
7.210469199999999546e+03 9.833290739475879505e-01
7.212868800000000192e+03 9.893290739475879558e-01
7.215268299999999726e+03 9.952290739475879722e-01
7.217666000000000167e+03 9.953290739475879612e-01
7.220063600000000406e+03 9.954290739475879501e-01
7.222460900000000038e+03 9.944290739475879493e-01
7.224855400000000373e+03 9.849290739475879963e-01
7.227248199999999997e+03 9.699290739475879830e-01
7.229643000000000029e+03 9.614290739475880310e-01
7.232045199999999568e+03 9.754290739475880434e-01
7.234440400000000409e+03 9.680290739475879702e-01
7.236836500000000342e+03 9.633290739475880438e-01
7.239236200000000281e+03 9.698290739475879940e-01
7.241636999999999716e+03 9.795290739475880359e-01
7.244038300000000163e+03 9.908290739475880127e-01
7.246436999999999898e+03 9.941290739475879823e-01
7.247836400000000140e+03 9.963290739475879620e-01
