energy intensity
7.080720000000000255e+03 -1.522529744424850002e-03
7.090397899999999936e+03 7.774702555751459481e-04
7.100075799999999617e+03 4.977470255575149917e-03
7.104790399999999863e+03 1.197747025557509976e-02
7.108193500000000313e+03 1.627747025557510149e-02
7.110613000000000284e+03 2.557747025557510073e-02
7.111720999999999549e+03 5.227747025557519939e-02
7.112501100000000406e+03 7.467747025557509855e-02
7.114592700000000150e+03 6.507747025557510112e-02
7.116407299999999850e+03 8.987747025557510372e-02
7.117213800000000447e+03 1.466774702555750098e-01
7.117617100000000391e+03 1.881774702555749912e-01
7.117885900000000220e+03 2.186774702555749905e-01
7.118423499999999876e+03 2.804774702555750121e-01
7.118625200000000405e+03 3.186774702555750238e-01
7.118826799999999821e+03 4.056774702555749901e-01
7.119095599999999649e+03 4.434774702555749903e-01
7.119310699999999997e+03 5.135774702555749860e-01
7.119506999999999607e+03 5.579774702555749810e-01
7.120036500000000160e+03 6.108774702555750391e-01
7.120138299999999617e+03 6.507774702555749746e-01
7.120439800000000105e+03 6.792774702555750554e-01
7.120641400000000431e+03 7.162774702555749773e-01
7.121246299999999792e+03 7.737774702555749728e-01
7.122052800000000389e+03 8.293774702555749556e-01
7.122859300000000076e+03 8.850774702555750384e-01
7.123262499999999818e+03 9.352774702555749498e-01
7.123665699999999561e+03 9.753774702555749743e-01
7.124069000000000415e+03 1.023377470255580013e+00
7.124472200000000157e+03 1.070377470255579944e+00
7.124875500000000102e+03 1.124777470255579948e+00
7.125681999999999789e+03 1.199577470255579925e+00
7.127496600000000399e+03 1.236877470255580036e+00
7.129916100000000370e+03 1.228777470255580040e+00
7.132133899999999812e+03 1.191277470255579951e+00
7.134150200000000041e+03 1.146677470255579978e+00
7.136368000000000393e+03 1.103477470255580073e+00
7.138787500000000364e+03 1.072577470255579923e+00
7.141207000000000335e+03 1.044977470255580076e+00
7.143626400000000103e+03 1.013077470255580037e+00
7.146045900000000074e+03 9.719774702555750157e-01
7.148465400000000045e+03 9.361774702555749617e-01
7.150884900000000016e+03 9.088774702555749707e-01
7.153304399999999987e+03 9.020774702555750535e-01
7.155723799999999756e+03 9.028774702555749654e-01
7.158143299999999726e+03 9.088774702555749707e-01
7.160562799999999697e+03 9.198774702555749805e-01
7.162982299999999668e+03 9.331774702555749590e-01
7.165401700000000346e+03 9.467774702555750155e-01
7.167821200000000317e+03 9.593774702555749601e-01
7.170240700000000288e+03 9.722774702555749826e-01
7.172660200000000259e+03 9.888774702555750418e-01
7.175079700000000230e+03 1.003177470255580017e+00
7.177499099999999999e+03 1.009177470255580022e+00
7.179918599999999969e+03 1.011277470255580013e+00
7.182338099999999940e+03 1.014377470255579894e+00
7.184757599999999911e+03 1.015777470255579962e+00
7.187176999999999680e+03 1.018177470255579919e+00
7.189596499999999651e+03 1.016977470255580052e+00
7.192015999999999622e+03 1.019677470255579976e+00
7.194435499999999593e+03 1.019777470255579965e+00
7.196854999999999563e+03 1.018177470255579919e+00
7.199274400000000242e+03 1.013377470255580004e+00
7.201693900000000212e+03 1.007877470255579944e+00
7.204113400000000183e+03 1.003977470255579929e+00
7.206532900000000154e+03 9.997774702555749515e-01
7.208952299999999923e+03 9.952774702555750030e-01
7.211371799999999894e+03 9.943774702555749911e-01
7.213791299999999865e+03 9.931774702555750123e-01
7.216210799999999836e+03 9.909774702555750325e-01
7.218630299999999806e+03 9.890774702555750197e-01
7.221049699999999575e+03 9.891774702555750087e-01
7.223469199999999546e+03 9.859774702555750281e-01
7.225888700000000426e+03 9.854774702555749721e-01
7.228308200000000397e+03 9.855774702555749611e-01
7.230727600000000166e+03 9.865774702555749620e-01
7.233147100000000137e+03 9.876774702555749519e-01
7.235566600000000108e+03 9.887774702555750528e-01
7.237986100000000079e+03 9.898774702555750427e-01
7.240405600000000049e+03 9.899774702555750316e-01
7.242824999999999818e+03 9.959774702555750370e-01
7.245244499999999789e+03 9.990774702555750286e-01
7.246655899999999747e+03 9.981774702555750167e-01
