energy intensity
6.860248999999999796e+03 -6.044069400000000140e-03
6.870219000000000051e+03 3.588673400000000346e-02
6.880208999999999833e+03 1.788541000000000089e-02
6.890238999999999578e+03 1.439573000000000068e-02
6.900298999999999978e+03 1.419136300000000024e-02
6.910279000000000451e+03 9.908790599999999990e-03
6.920279000000000451e+03 5.222853399999999660e-03
6.930208999999999833e+03 3.780877199999999830e-03
6.940269000000000233e+03 7.513064099999999671e-04
6.950259000000000015e+03 -4.812432600000000047e-04
6.960269000000000233e+03 -4.303669900000000074e-04
6.970319000000000415e+03 -2.141965500000000185e-03
6.980279000000000451e+03 -6.840188500000000255e-03
6.990259000000000015e+03 -6.871399299999999925e-03
7.000279000000000451e+03 -5.435308199999999874e-03
7.010219000000000051e+03 -4.262991300000000365e-03
7.020298999999999978e+03 -9.362496799999999939e-03
7.030288999999999760e+03 -4.064658100000000107e-03
7.040309000000000196e+03 -2.090391899999999911e-03
7.050248999999999796e+03 -9.560715699999999817e-03
7.060208999999999833e+03 -3.497947799999999788e-03
7.061269000000000233e+03 -3.007899499999999813e-03
7.061859000000000378e+03 -3.173329400000000043e-03
7.062439000000000306e+03 -3.477037899999999970e-03
7.063029000000000451e+03 -1.439491300000000093e-03
7.063618999999999687e+03 -4.080329399999999863e-03
7.064208999999999833e+03 -1.908004100000000071e-03
7.064798999999999978e+03 -2.161567200000000157e-03
7.065378999999999905e+03 -3.888151399999999983e-03
7.065969000000000051e+03 -1.208539599999999999e-03
7.066559000000000196e+03 -3.378767100000000002e-03
7.067149000000000342e+03 -2.962811799999999929e-03
7.067738999999999578e+03 -3.358435400000000029e-03
7.068319000000000415e+03 -3.358225900000000146e-03
7.068908999999999651e+03 -2.383802999999999877e-03
7.069498999999999796e+03 -3.082138600000000096e-03
7.070088999999999942e+03 -3.807822800000000042e-03
7.070679000000000087e+03 -4.080158799999999801e-03
7.071269000000000233e+03 -1.124455500000000070e-03
7.071859000000000378e+03 -1.378217200000000009e-03
7.072448999999999614e+03 -2.682945400000000084e-03
7.073029000000000451e+03 -2.768216200000000061e-03
7.073618999999999687e+03 -2.427308600000000188e-03
7.074208999999999833e+03 -2.719584000000000151e-03
7.074798999999999978e+03 -1.776614300000000030e-03
7.075389000000000124e+03 -5.658730600000000258e-04
7.075979000000000269e+03 7.145490499999999955e-05
7.076569000000000415e+03 -1.823374000000000002e-03
7.077158999999999651e+03 -2.325369100000000070e-04
7.077748999999999796e+03 -1.172071800000000036e-04
7.078338999999999942e+03 2.743793500000000184e-03
7.078929000000000087e+03 8.806902300000000290e-05
7.079519000000000233e+03 -6.738782399999999504e-04
7.080109000000000378e+03 -2.464686800000000060e-03
7.080698999999999614e+03 -3.146730999999999834e-03
7.081288999999999760e+03 -1.498625200000000025e-03
7.081889000000000124e+03 -1.689197299999999969e-04
7.082479000000000269e+03 1.759411300000000107e-04
7.083069000000000415e+03 -4.312229599999999985e-04
7.083658999999999651e+03 1.120863599999999925e-03
7.084248999999999796e+03 3.187859499999999764e-04
7.084838999999999942e+03 1.107191399999999911e-03
7.085429000000000087e+03 3.046944099999999815e-03
7.086019000000000233e+03 1.968842399999999864e-03
7.086609000000000378e+03 8.788068800000000498e-04
7.087208999999999833e+03 1.622721900000000019e-03
7.087798999999999978e+03 2.475862799999999954e-03
7.088389000000000124e+03 8.536754100000000164e-04
7.088979000000000269e+03 2.255703799999999801e-03
7.089569000000000415e+03 4.170143999999999761e-03
7.090168999999999869e+03 5.154009699999999999e-03
7.090759000000000015e+03 2.244393300000000011e-03
7.091349000000000160e+03 1.733670500000000043e-03
7.091939000000000306e+03 1.370274799999999940e-03
7.092538999999999760e+03 1.051923699999999986e-03
7.093128999999999905e+03 3.059744300000000194e-03
7.093719000000000051e+03 3.793418099999999824e-03
7.094309000000000196e+03 3.116513899999999882e-03
7.094908999999999651e+03 4.145002200000000130e-03
7.095498999999999796e+03 4.294499999999999706e-03
7.096088999999999942e+03 7.089393299999999926e-03
7.096689000000000306e+03 2.941089599999999801e-03
7.097279000000000451e+03 6.104078700000000433e-03
7.097868999999999687e+03 5.537162400000000123e-03
7.098469000000000051e+03 2.676102000000000081e-03
7.099059000000000196e+03 7.030574199999999573e-03
7.099658999999999651e+03 5.883186299999999987e-03
7.100248999999999796e+03 7.817552800000000454e-03
7.100838999999999942e+03 7.523559099999999576e-03
7.101439000000000306e+03 6.554331600000000251e-03
7.102029000000000451e+03 9.065127900000000821e-03
7.102628999999999905e+03 7.891176099999999347e-03
7.103219000000000051e+03 8.191837900000000297e-03
7.103819000000000415e+03 1.315580899999999921e-02
7.104408999999999651e+03 1.283391799999999972e-02
7.104998999999999796e+03 1.185081200000000050e-02
7.105599000000000160e+03 1.260494099999999972e-02
7.106189000000000306e+03 1.209122600000000006e-02
7.106788999999999760e+03 1.419949400000000000e-02
7.107378999999999905e+03 1.758030999999999830e-02
7.107979000000000269e+03 1.789795900000000148e-02
7.108578999999999724e+03 2.235486899999999943e-02
7.109168999999999869e+03 2.112874000000000002e-02
7.109769000000000233e+03 2.533182499999999879e-02
7.110359000000000378e+03 3.071417200000000139e-02
