energy intensity
7.100316025650299707e+03 -4.851932407561320186e-04
7.101197979242359906e+03 5.102894428645750151e-04
7.102079932834420106e+03 5.102894428645750151e-04
7.102961886426470301e+03 5.102894428645750151e-04
7.103843840018529590e+03 5.102894428645750151e-04
7.104725793610579785e+03 5.102894428645750151e-04
7.105607747202639985e+03 1.505772126485279989e-03
7.106489700794700184e+03 2.003513468295639848e-03
7.107371654386750379e+03 6.483185544587930123e-03
7.108253607978809669e+03 8.474150911829349611e-03
7.109135561570859863e+03 8.474150911829349611e-03
7.110017515162920063e+03 1.046511627906989914e-02
7.110899468754980262e+03 1.345156432993199931e-02
7.111781422347029547e+03 1.643801238079320090e-02
7.112663375939089747e+03 2.340639116613730045e-02
7.113545329531139942e+03 3.584992471139440001e-02
7.114427283123200141e+03 4.580475154759969941e-02
7.115309236715260340e+03 4.630249288940999769e-02
7.116191190307309625e+03 3.983185544587630050e-02
7.117073143899369825e+03 3.883637276225559987e-02
7.117955097491420020e+03 4.580475154759969941e-02
7.118837051083480219e+03 5.974150911828689930e-02
7.119719004675540418e+03 8.363309352518029371e-02
7.120600958267589704e+03 1.229546595281919980e-01
7.121482911859649903e+03 1.717333110255989947e-01
7.122223997864080047e+03 2.239408473221420059e-01
7.122860964347230038e+03 2.903948469131670262e-01
7.123399935986820310e+03 3.615386760359159957e-01
7.123908284237800217e+03 4.420305615972339730e-01
7.124416632488780124e+03 5.228384734073210360e-01
7.124995692928009703e+03 5.992478744277299763e-01
7.125555822545179581e+03 6.654927221013889893e-01
7.126009048696660102e+03 7.320057132588509985e-01
7.126499022914469606e+03 8.000156154146450538e-01
7.126939999710490156e+03 8.625739142904950141e-01
7.127204585788110307e+03 9.161647426245049797e-01
7.127601464904530076e+03 9.797808265015900409e-01
7.127987319601060335e+03 1.045609094120049987e+00
7.128318052198080295e+03 1.105145279125540059e+00
7.128759028994109940e+03 1.174781663041660096e+00
7.129227566839889732e+03 1.241877195917679977e+00
7.129869345569820325e+03 1.304308181361889973e+00
7.130614806344059616e+03 1.364542784377150042e+00
7.131515133969280214e+03 1.422059561653000070e+00
7.132397087561340413e+03 1.463372093023260101e+00
7.133279041153399703e+03 1.485770453404720026e+00
7.134160994745449898e+03 1.479299815961180098e+00
7.135042948337510097e+03 1.458892420946960033e+00
7.135924901929560292e+03 1.428530199096539999e+00
7.136828904361420427e+03 1.386222185042659927e+00
7.137688809113669777e+03 1.346900619039649971e+00
7.138570762705729976e+03 1.307081311694830106e+00
7.139452716297790175e+03 1.267262004350010018e+00
7.140334669889840370e+03 1.235406558474150041e+00
7.141216623481899660e+03 1.208528526016400040e+00
7.142098577073949855e+03 1.185632424293119991e+00
7.142980530666010054e+03 1.162736322569849934e+00
7.143862484258070253e+03 1.144817634264680084e+00
7.144744437850120448e+03 1.130383135352180046e+00
7.145626391442179738e+03 1.119432825832360034e+00
7.146508345034229933e+03 1.108980257654339940e+00
7.147390298626290132e+03 1.099523172159950102e+00
7.148272252218350332e+03 1.086084155931070105e+00
7.149154205810399617e+03 1.064183536891420090e+00
7.150036159402459816e+03 1.039296469800899958e+00
7.150918112994510011e+03 1.010427471975910096e+00
7.151800066586570210e+03 9.850426635435840517e-01
7.152682020178630410e+03 9.581646310858290549e-01
7.153563973770679695e+03 9.357662707043670203e-01
7.154445927362739894e+03 9.153588756901459567e-01
7.155327880954790089e+03 8.944537393341139841e-01
7.156209834546850288e+03 8.815124644470470061e-01
7.157091788138909578e+03 8.740463443198930316e-01
7.157973741730959773e+03 8.611050694328260535e-01
7.158855695323019972e+03 8.526434666220510383e-01
7.159737648915070167e+03 8.526434666220510383e-01
7.160619602507130367e+03 8.526434666220510383e-01
7.161501556099189656e+03 8.526434666220510383e-01
7.162383509691239851e+03 8.561276560147229597e-01
7.163265463283300051e+03 8.670779655345489667e-01
7.164147416875350245e+03 8.770327923707550433e-01
7.165029370467410445e+03 8.894763259160110014e-01
7.165911324059459730e+03 9.029153421448889993e-01
7.166793277651519929e+03 9.183453237410069692e-01
7.167675231243580129e+03 9.312865986280739472e-01
7.168557184835630324e+03 9.516939936422960100e-01
7.169439138427689613e+03 9.666262338966039591e-01
7.170321092019739808e+03 9.815584741509120192e-01
7.171203045611800007e+03 9.984816797724610504e-01
7.172084999203860207e+03 1.009929730634099965e+00
7.172966952795910402e+03 1.026355194913840085e+00
7.173848906387969691e+03 1.036310021750040056e+00
7.174730859980019886e+03 1.050246779320729962e+00
7.175612813572080086e+03 1.059703864815120022e+00
7.176494767164140285e+03 1.066672243600470082e+00
7.177376720756189570e+03 1.074636105069429970e+00
7.178258674348249770e+03 1.079115777145730037e+00
7.179140627940299964e+03 1.083595449222019891e+00
7.179691848935340204e+03 1.083595449222019891e+00
