energy intensity
7.083402100000000246e+03 -1.303779439998480061e-03
7.085800299999999879e+03 3.962205600015580084e-04
7.088197600000000421e+03 -6.037794399983319659e-04
7.090595599999999649e+03 4.962205600015469949e-04
7.092992699999999786e+03 -1.003779439998289972e-03
7.095390900000000329e+03 6.962205600015249681e-04
7.097789399999999659e+03 3.496220560001660031e-03
7.100187600000000202e+03 5.096220560001710198e-03
7.102585200000000441e+03 5.196220560001700052e-03
7.104983900000000176e+03 8.496220560001550848e-03
7.107382599999999911e+03 1.179622056000160027e-02
7.109780999999999949e+03 1.399622056000160084e-02
7.112184900000000198e+03 3.339622056000170203e-02
7.114590600000000450e+03 5.809622056000159768e-02
7.116993699999999990e+03 7.479622056000159724e-02
7.119017499999999927e+03 1.535962205600019947e-01
7.120048099999999977e+03 2.500962205600020249e-01
7.120478900000000067e+03 3.453962205600020208e-01
7.120908999999999651e+03 4.385962205600020258e-01
7.121741100000000188e+03 5.390962205600019486e-01
7.122177700000000186e+03 6.522962205600020269e-01
7.122603799999999865e+03 7.332962205600019878e-01
7.123427399999999579e+03 8.077962205600019985e-01
7.124255199999999604e+03 8.950962205600020427e-01
7.125080799999999726e+03 9.757962205600020367e-01
7.125596099999999751e+03 1.085296220560000080e+00
7.126349000000000160e+03 1.187896220560000105e+00
7.126900099999999838e+03 1.233496220559999967e+00
7.127848799999999756e+03 1.275896220559999961e+00
7.129524599999999737e+03 1.254696220560000075e+00
7.130835299999999734e+03 1.296896220560000090e+00
7.131184699999999793e+03 1.328396220559999952e+00
7.132200399999999718e+03 1.362696220559999949e+00
7.133475099999999657e+03 1.328496220559999941e+00
7.133969900000000052e+03 1.274996220560000060e+00
7.134743300000000090e+03 1.195796220559999901e+00
7.136113599999999678e+03 1.109496220560000079e+00
7.138087900000000445e+03 1.036996220560000070e+00
7.140467700000000150e+03 9.823962205600019759e-01
7.142858699999999772e+03 9.621962205600019802e-01
7.145254899999999907e+03 9.578962205600020097e-01
7.147647100000000137e+03 9.413962205600020505e-01
7.150034999999999854e+03 9.114962205600020129e-01
7.152423499999999876e+03 8.836962205600019660e-01
7.154816100000000006e+03 8.682962205600019967e-01
7.157214200000000346e+03 8.699962205600020315e-01
7.159616299999999683e+03 8.833962205600019990e-01
7.162019299999999930e+03 9.000962205600010480e-01
7.164424399999999878e+03 9.226962205600020006e-01
7.166830799999999726e+03 9.495962205600020356e-01
7.169235800000000381e+03 9.720962205600020001e-01
7.171638200000000325e+03 9.866962205600019464e-01
7.174040500000000065e+03 1.001196220560000016e+00
7.176442000000000007e+03 1.013096220560000038e+00
7.178841099999999642e+03 1.017396220560000009e+00
7.181240499999999884e+03 1.022896220560000069e+00
7.183638799999999719e+03 1.025096220560000049e+00
7.186034700000000157e+03 1.019796220559999966e+00
7.188431499999999687e+03 1.017196220560000031e+00
7.190826500000000124e+03 1.009296220560000013e+00
7.193220800000000054e+03 9.991962205600020130e-01
7.195616399999999885e+03 9.927962205600020518e-01
7.198013200000000325e+03 9.901962205600020051e-01
7.200409399999999550e+03 9.859962205600020235e-01
7.202805500000000393e+03 9.812962205600019860e-01
7.205201200000000426e+03 9.754962205600019587e-01
7.207596199999999953e+03 9.674962205600019516e-01
7.209993300000000090e+03 9.659962205600020058e-01
7.212389199999999619e+03 9.606962205600020344e-01
7.214787400000000162e+03 9.623962205600019582e-01
7.217187100000000100e+03 9.688962205600020194e-01
7.219586199999999735e+03 9.732962205600019789e-01
7.221984000000000378e+03 9.738962205600020239e-01
7.224382899999999609e+03 9.776962205600020495e-01
7.226779700000000048e+03 9.750962205600020027e-01
7.229178700000000390e+03 9.794962205600019622e-01
7.231575300000000425e+03 9.762962205600019816e-01
7.233972099999999955e+03 9.736962205600020459e-01
7.236369700000000194e+03 9.737962205600020349e-01
7.238767399999999725e+03 9.738962205600020239e-01
7.241165399999999863e+03 9.749962205600020138e-01
7.243564900000000307e+03 9.809962205600020191e-01
7.245964500000000044e+03 9.869962205600020244e-01
7.247762800000000425e+03 9.869962205600020244e-01
