energy intensity
7.084362399999999980e+03 -1.777756142617269901e-03
7.086760699999999815e+03 4.222438573824840091e-04
7.089158400000000256e+03 5.222438573826950403e-04
7.091555999999999585e+03 6.222438573824619823e-04
7.093953700000000026e+03 7.222438573822290327e-04
7.096351300000000265e+03 7.222438573822290327e-04
7.098749700000000303e+03 3.022243857382199937e-03
7.101148699999999735e+03 7.322243857382389892e-03
7.103546400000000176e+03 7.422243857382600056e-03
7.105944700000000012e+03 9.622243857382360363e-03
7.108343899999999849e+03 1.452224385738250072e-02
7.110744200000000092e+03 2.262224385738269977e-02
7.111945200000000114e+03 3.502224385738220147e-02
7.113152900000000045e+03 5.652224385738229689e-02
7.114249399999999696e+03 7.722224385738249430e-02
7.115554600000000391e+03 6.892224385738229819e-02
7.116865300000000389e+03 7.202224385738220658e-02
7.117562600000000202e+03 9.952224385738249468e-02
7.118984599999999773e+03 1.707222438573819945e-01
7.119405499999999847e+03 2.361222438573830074e-01
7.120231799999999566e+03 3.189222438573819929e-01
7.120668499999999767e+03 4.322222438573820047e-01
7.121096499999999651e+03 5.190222438573820485e-01
7.121924399999999878e+03 6.066222438573819487e-01
7.122552999999999884e+03 6.958222438573820057e-01
7.123581699999999728e+03 7.865222438573820085e-01
7.124408000000000357e+03 8.694222438573829814e-01
7.125336299999999937e+03 9.586222438573830384e-01
7.125662900000000263e+03 1.040922243857379970e+00
7.126490099999999984e+03 1.126322243857379890e+00
7.127042999999999665e+03 1.177622243857380013e+00
7.128317500000000109e+03 1.215622243857380047e+00
7.130718499999999949e+03 1.225822243857380034e+00
7.133105599999999868e+03 1.193822243857380005e+00
7.135480999999999767e+03 1.125822243857379945e+00
7.137864300000000185e+03 1.082022243857380106e+00
7.140252099999999700e+03 1.052122243857380068e+00
7.142642399999999725e+03 1.029622243857380104e+00
7.145029900000000453e+03 9.987222438573819527e-01
7.147416500000000269e+03 9.650222438573829997e-01
7.149801199999999881e+03 9.254222438573830312e-01
7.152189199999999801e+03 8.960222438573820503e-01
7.154582800000000134e+03 8.838222438573819506e-01
7.156980300000000170e+03 8.833222438573820057e-01
7.159379500000000007e+03 8.882222438573820211e-01
7.161780499999999847e+03 8.985222438573819970e-01
7.164184100000000399e+03 9.168222438573819799e-01
7.166586800000000039e+03 9.324222438573820382e-01
7.168990200000000186e+03 9.502222438573829644e-01
7.171393299999999726e+03 9.668222438573820243e-01
7.173798499999999876e+03 9.900222438573820227e-01
7.176199599999999919e+03 1.000722243857379956e+00
7.178599900000000162e+03 1.008922243857379941e+00
7.180999099999999999e+03 1.013822243857380068e+00
7.183398199999999633e+03 1.018122243857380038e+00
7.185795299999999770e+03 1.016622243857379981e+00
7.188192399999999907e+03 1.015122243857379924e+00
7.190589899999999943e+03 1.014622243857379980e+00
7.192986700000000383e+03 1.012022243857380044e+00
7.195382200000000012e+03 1.005722243857380072e+00
7.197779000000000451e+03 1.003122243857379914e+00
7.200175199999999677e+03 9.989222438573820417e-01
7.202571299999999610e+03 9.941222438573820153e-01
7.204966999999999643e+03 9.883222438573829871e-01
7.207362600000000384e+03 9.820222438573820156e-01
7.209760000000000218e+03 9.815222438573829589e-01
7.212157500000000255e+03 9.810222438573830139e-01
7.214553600000000188e+03 9.763222438573819773e-01
7.216950899999999820e+03 9.753222438573829756e-01
7.219348500000000058e+03 9.754222438573829645e-01
7.221746199999999590e+03 9.755222438573819543e-01
7.224143799999999828e+03 9.755222438573819543e-01
7.226541500000000269e+03 9.756222438573820543e-01
7.228939099999999598e+03 9.757222438573830425e-01
7.231337599999999838e+03 9.785222438573819570e-01
7.233734800000000178e+03 9.769222438573830214e-01
7.236134200000000419e+03 9.824222438573819716e-01
7.238531799999999748e+03 9.824222438573819716e-01
7.240929500000000189e+03 9.825222438573819606e-01
7.243327500000000327e+03 9.837222438573830496e-01
7.245326699999999619e+03 9.875222438573829642e-01
