energy intensity
6.862507999999999811e+03 -6.951711499999999912e-03
6.872478000000000065e+03 3.364013400000000209e-02
6.882467999999999847e+03 2.304745600000000089e-02
6.892497999999999593e+03 1.612022200000000002e-02
6.902557999999999993e+03 1.484912900000000084e-02
6.912537999999999556e+03 9.494128100000000584e-03
6.922537999999999556e+03 5.583785499999999700e-03
6.932467999999999847e+03 2.513032899999999986e-03
6.942528000000000247e+03 5.635274600000000217e-03
6.952518000000000029e+03 -1.369741299999999943e-03
6.962528000000000247e+03 -1.503878499999999896e-03
6.972578000000000429e+03 -1.533711000000000102e-03
6.982537999999999556e+03 -7.185595200000000418e-03
6.992518000000000029e+03 -4.607994399999999942e-03
7.002537999999999556e+03 -5.038427699999999641e-03
7.012478000000000065e+03 -4.292411399999999586e-03
7.022557999999999993e+03 -3.765078199999999896e-03
7.032547999999999774e+03 -6.541579999999999964e-03
7.042568000000000211e+03 -4.419442400000000125e-03
7.052507999999999811e+03 -2.033358500000000037e-03
7.062467999999999847e+03 3.284123099999999938e-04
7.063528000000000247e+03 -2.232539600000000169e-03
7.063768000000000029e+03 -3.035488299999999917e-03
7.063997999999999593e+03 -3.823108600000000180e-03
7.064228000000000065e+03 -4.248037199999999715e-03
7.064467999999999847e+03 -4.479802599999999947e-03
7.064698000000000320e+03 -3.982666499999999894e-03
7.064938000000000102e+03 -3.685259699999999996e-03
7.065167999999999665e+03 -2.631435200000000179e-03
7.065408000000000357e+03 -6.369475700000000115e-03
7.065637999999999920e+03 -8.033963499999999605e-03
7.065877999999999702e+03 -4.532756300000000300e-03
7.066108000000000175e+03 -3.450308000000000021e-03
7.066347999999999956e+03 -1.386543399999999983e-03
7.066587999999999738e+03 1.032907000000000009e-03
7.066818000000000211e+03 -1.522872199999999890e-04
7.067057999999999993e+03 -1.517593700000000045e-03
7.067287999999999556e+03 -6.372768400000000145e-03
7.067528000000000247e+03 -3.243271600000000032e-03
7.067757999999999811e+03 -1.543171400000000002e-03
7.067997999999999593e+03 1.192907300000000097e-03
7.068228000000000065e+03 -6.600180900000000286e-04
7.068467999999999847e+03 -1.359974500000000076e-03
7.068698000000000320e+03 2.115180800000000089e-04
7.068938000000000102e+03 1.247335700000000045e-03
7.069167999999999665e+03 -1.538680400000000089e-03
7.069408000000000357e+03 -1.328525400000000025e-03
7.069637999999999920e+03 -2.334856599999999942e-03
7.069877999999999702e+03 -1.079494500000000023e-03
7.070108000000000175e+03 -9.592631900000000208e-04
7.070347999999999956e+03 -1.140554700000000025e-03
7.070578000000000429e+03 -1.235901300000000072e-03
7.070818000000000211e+03 -2.815816899999999939e-03
