energy intensity
6.863932999999999993e+03 3.915699400000000052e-03
6.873903000000000247e+03 6.700948800000000247e-03
6.883893000000000029e+03 6.261499900000000104e-03
6.893922999999999774e+03 4.954132499999999717e-03
6.903983000000000175e+03 3.568040000000000187e-03
6.913962999999999738e+03 3.816021900000000043e-03
6.923962999999999738e+03 3.062384599999999797e-03
6.933893000000000029e+03 2.578613500000000169e-03
6.943953000000000429e+03 4.475107500000000149e-04
6.953943000000000211e+03 5.704534499999999720e-05
6.963953000000000429e+03 -7.078852600000000482e-04
6.974002999999999702e+03 -3.174354500000000170e-04
6.983962999999999738e+03 -3.255768100000000173e-04
6.993943000000000211e+03 -1.301256100000000018e-03
7.003962999999999738e+03 -1.490616800000000002e-03
7.013903000000000247e+03 -1.921013000000000061e-03
7.023983000000000175e+03 -3.216615500000000096e-03
7.033972999999999956e+03 -1.741720300000000089e-03
7.043993000000000393e+03 -3.707197800000000022e-03
7.053932999999999993e+03 -4.674049000000000433e-03
7.063893000000000029e+03 -3.419600799999999909e-03
7.073893000000000029e+03 -4.076058500000000195e-03
7.083912999999999556e+03 -2.486712099999999898e-03
7.093962999999999738e+03 -7.261270300000000110e-04
7.094912999999999556e+03 -1.128318400000000036e-03
7.095393000000000029e+03 -9.883324999999999229e-04
7.095863000000000284e+03 -1.725996599999999974e-04
7.096332999999999629e+03 -7.224730900000000261e-04
7.096813000000000102e+03 -5.995399300000000316e-04
7.097283000000000357e+03 -1.938659800000000022e-04
7.097762999999999920e+03 -2.683650299999999983e-04
7.098233000000000175e+03 -4.670363900000000057e-04
7.098712999999999738e+03 1.187332099999999961e-03
7.099182999999999993e+03 5.975853599999999492e-04
7.099662999999999556e+03 6.316615000000000034e-04
7.100132999999999811e+03 1.221093799999999974e-03
7.100603000000000065e+03 7.875587799999999705e-04
7.101082999999999629e+03 1.157305900000000056e-03
7.101552999999999884e+03 2.533615999999999820e-03
7.102033000000000357e+03 1.604085099999999920e-03
7.102502999999999702e+03 2.248808499999999880e-03
7.102983000000000175e+03 2.289873899999999868e-03
7.103453000000000429e+03 3.094529700000000182e-03
7.103932999999999993e+03 3.612998799999999917e-03
7.104403000000000247e+03 3.724370199999999919e-03
7.104882999999999811e+03 3.450570100000000060e-03
7.105363000000000284e+03 4.317752099999999822e-03
7.105832999999999629e+03 4.964505800000000406e-03
7.106313000000000102e+03 6.341668899999999831e-03
7.106783000000000357e+03 5.465149100000000343e-03
7.107262999999999920e+03 6.772754300000000290e-03
7.107733000000000175e+03 7.064248100000000002e-03
7.108212999999999738e+03 7.861303499999999778e-03
7.108682999999999993e+03 8.668878200000000589e-03
7.109162999999999556e+03 8.892300500000000288e-03
7.109643000000000029e+03 1.091674699999999922e-02
7.110113000000000284e+03 1.184064699999999928e-02
7.110592999999999847e+03 1.390235700000000060e-02
7.111063000000000102e+03 1.637385900000000102e-02
7.111542999999999665e+03 2.095454500000000150e-02
7.112023000000000138e+03 2.879655700000000040e-02
7.112493000000000393e+03 3.988701399999999841e-02
7.112972999999999956e+03 5.360854899999999840e-02
7.113453000000000429e+03 6.110455199999999948e-02
7.113922999999999774e+03 7.069319300000000139e-02
7.114403000000000247e+03 7.608525600000000388e-02
7.114882999999999811e+03 7.362974199999999803e-02
7.115353000000000065e+03 6.885821200000000197e-02
7.115832999999999629e+03 6.849979900000000010e-02
7.116313000000000102e+03 6.898025600000000368e-02
7.116783000000000357e+03 7.234506100000000217e-02
7.117262999999999920e+03 7.461671999999999749e-02
7.117743000000000393e+03 7.723830499999999322e-02
7.118222999999999956e+03 8.094018499999999783e-02
7.118693000000000211e+03 8.430209600000000691e-02
7.119172999999999774e+03 9.242928400000000044e-02
7.119653000000000247e+03 1.033481299999999964e-01
7.120122999999999593e+03 1.190813000000000010e-01
7.120603000000000065e+03 1.404655800000000065e-01
7.121082999999999629e+03 1.690938100000000111e-01
7.121563000000000102e+03 2.085411100000000018e-01
7.122033000000000357e+03 2.591205999999999787e-01
7.122512999999999920e+03 3.208533399999999869e-01
7.122993000000000393e+03 3.937399300000000157e-01
7.123472999999999956e+03 4.649240700000000226e-01
7.123953000000000429e+03 5.291393100000000294e-01
7.124422999999999774e+03 5.868637799999999460e-01
7.124903000000000247e+03 6.408403299999999581e-01
