energy intensity
7.101802899999999681e+03 -2.533779927081169971e-03
7.103333099999999831e+03 1.166220072919089967e-03
7.104863400000000183e+03 3.766220072919249876e-03
7.106393699999999626e+03 5.866220072919240205e-03
7.107923999999999978e+03 1.126622007291909998e-02
7.109454200000000128e+03 2.086622007291890138e-02
7.110984499999999571e+03 5.066622007291920332e-02
7.111635000000000218e+03 7.616622007291880270e-02
7.112091300000000047e+03 1.052662200729189979e-01
7.112514799999999923e+03 1.309662200729189985e-01
7.113460100000000239e+03 1.051662200729189950e-01
7.114045000000000073e+03 8.836622007291919378e-02
7.115575300000000425e+03 6.986622007291880265e-02
7.116850499999999556e+03 1.169662200729189999e-01
7.117615700000000288e+03 1.900662200729190121e-01
7.118125799999999799e+03 2.631662200729190104e-01
7.118763399999999820e+03 3.465662200729189846e-01
7.119145900000000438e+03 4.288662200729190244e-01
7.119698500000000422e+03 5.208662200729190506e-01
7.120166100000000370e+03 6.140662200729190001e-01
7.120931300000000192e+03 6.968662200729189848e-01
7.121823900000000322e+03 7.731662200729190193e-01
7.122461500000000342e+03 8.576662200729190388e-01
7.123099199999999655e+03 9.485662200729190197e-01
7.123524199999999837e+03 1.029866220072920058e+00
7.123954399999999623e+03 1.116266220072920090e+00
7.124958200000000033e+03 1.153866220072919946e+00
7.125649599999999737e+03 1.091466220072919935e+00
7.126797300000000178e+03 1.019366220072920104e+00
7.128327599999999620e+03 1.045866220072920072e+00
7.129857899999999972e+03 1.048466220072920008e+00
7.131388100000000122e+03 1.041966220072920057e+00
7.132918399999999565e+03 1.101966220072920111e+00
7.134448699999999917e+03 1.121966220072919906e+00
7.135978900000000067e+03 1.102866220072920012e+00
7.137509200000000419e+03 1.057866220072920083e+00
7.139039499999999862e+03 1.031266220072919904e+00
7.140569800000000214e+03 1.025266220072919898e+00
7.142100000000000364e+03 1.012666220072919954e+00
7.143630299999999806e+03 9.936662200729190486e-01
7.145160600000000159e+03 9.756662200729190326e-01
7.146690800000000309e+03 9.517662200729190003e-01
7.148221099999999751e+03 9.208662200729189617e-01
7.149751400000000103e+03 8.963662200729189955e-01
7.151281699999999546e+03 8.822662200729189941e-01
7.152811899999999696e+03 8.789662200729190245e-01
7.154342200000000048e+03 8.820662200729190161e-01
7.155872500000000400e+03 8.847662200729190518e-01
7.157402699999999641e+03 8.911662200729190131e-01
7.158932999999999993e+03 8.964662200729189845e-01
7.160463300000000345e+03 9.002662200729190101e-01
7.161993599999999788e+03 8.979662200729190413e-01
7.163523799999999937e+03 8.957662200729189506e-01
7.165054100000000290e+03 8.945662200729189717e-01
7.166584399999999732e+03 8.939662200729190378e-01
7.168114700000000084e+03 8.965662200729189735e-01
7.169644900000000234e+03 9.046662200729189696e-01
7.171175199999999677e+03 9.175662200729189921e-01
7.172705500000000029e+03 9.326662200729189944e-01
7.174235700000000179e+03 9.450662200729189610e-01
7.175765999999999622e+03 9.568662200729189937e-01
7.177296299999999974e+03 9.692662200729189603e-01
7.178826600000000326e+03 9.778662200729190124e-01
7.180356799999999566e+03 9.864662200729189534e-01
7.181887099999999919e+03 9.950662200729190054e-01
7.183417400000000271e+03 1.002066220072920011e+00
7.184947600000000421e+03 1.005166220072919891e+00
7.186477899999999863e+03 1.004066220072920013e+00
7.188008200000000215e+03 1.003966220072920024e+00
7.189538499999999658e+03 1.004466220072919969e+00
7.191068699999999808e+03 1.007066220072919904e+00
7.192599000000000160e+03 1.006966220072919915e+00
7.194129299999999603e+03 1.004766220072919936e+00
7.195659499999999753e+03 1.001966220072920022e+00
7.197189800000000105e+03 9.980662200729190081e-01
7.198720099999999547e+03 9.942662200729189825e-01
7.200250399999999900e+03 9.903662200729189680e-01
7.201780600000000049e+03 9.859662200729190085e-01
7.203310900000000402e+03 9.804662200729189481e-01
7.204841199999999844e+03 9.749662200729189987e-01
7.206371500000000196e+03 9.694662200729190493e-01
7.207901700000000346e+03 9.656662200729190237e-01
7.209431999999999789e+03 9.639662200729189889e-01
7.210962300000000141e+03 9.605662200729190303e-01
7.212492500000000291e+03 9.561662200729189598e-01
7.214022799999999734e+03 9.534662200729190351e-01
7.215553100000000086e+03 9.506662200729190104e-01
7.217083400000000438e+03 9.505662200729190214e-01
7.218231099999999969e+03 9.602662200729189523e-01
