energy intensity
7.102823000000000320e+03 1.699999999999999905e-03
7.104353299999999763e+03 3.799999999999999992e-03
7.105883600000000115e+03 4.799999999999999580e-03
7.107413899999999558e+03 6.899999999999999883e-03
7.108944099999999708e+03 8.500000000000000611e-03
7.110474400000000060e+03 1.220000000000000077e-02
7.112004700000000412e+03 2.019999999999999921e-02
7.113534999999999854e+03 4.399999999999999745e-02
7.115065200000000004e+03 5.149999999999999717e-02
7.116595500000000357e+03 4.000000000000000083e-02
7.118125799999999799e+03 4.700000000000000011e-02
7.119655999999999949e+03 6.909999999999999476e-02
7.121058799999999792e+03 1.262999999999999956e-01
7.122078999999999724e+03 2.109000000000000041e-01
7.122844100000000253e+03 3.050999999999999823e-01
7.123226700000000164e+03 3.857999999999999763e-01
7.123864300000000185e+03 4.783999999999999919e-01
7.124884500000000116e+03 5.694000000000000172e-01
7.125904700000000048e+03 6.375999999999999446e-01
7.126669799999999668e+03 7.211999999999999522e-01
7.127179900000000089e+03 8.216999999999999860e-01
7.127689999999999600e+03 9.217999999999999527e-01
7.128072500000000218e+03 1.016100000000000003e+00
7.128710100000000239e+03 1.109699999999999909e+00
7.129857899999999972e+03 1.190900000000000070e+00
7.131388100000000122e+03 1.214699999999999891e+00
7.132918399999999565e+03 1.182099999999999929e+00
7.134448699999999917e+03 1.195599999999999996e+00
7.135978900000000067e+03 1.188499999999999890e+00
7.137509200000000419e+03 1.166199999999999903e+00
7.139039499999999862e+03 1.137899999999999912e+00
7.140569800000000214e+03 1.113499999999999934e+00
7.142100000000000364e+03 1.111299999999999955e+00
7.143630299999999806e+03 1.092799999999999994e+00
7.145160600000000159e+03 1.058599999999999985e+00
7.146690800000000309e+03 1.028699999999999948e+00
7.148221099999999751e+03 1.001500000000000057e+00
7.149751400000000103e+03 9.808999999999999941e-01
7.151281699999999546e+03 9.575000000000000178e-01
7.152811899999999696e+03 9.308999999999999497e-01
7.154342200000000048e+03 9.032000000000000028e-01
7.155872500000000400e+03 8.750000000000000000e-01
7.157402699999999641e+03 8.505000000000000338e-01
7.158932999999999993e+03 8.375000000000000222e-01
7.160463300000000345e+03 8.325000000000000178e-01
7.161993599999999788e+03 8.335000000000000187e-01
7.163523799999999937e+03 8.454000000000000403e-01
7.165054100000000290e+03 8.615000000000000435e-01
7.166584399999999732e+03 8.814999999999999503e-01
7.168114700000000084e+03 9.042000000000000037e-01
7.169644900000000234e+03 9.323000000000000176e-01
7.171175199999999677e+03 9.597999999999999865e-01
7.172705500000000029e+03 9.851999999999999647e-01
7.174235700000000179e+03 1.010000000000000009e+00
7.175765999999999622e+03 1.033800000000000052e+00
7.177296299999999974e+03 1.046699999999999964e+00
7.178826600000000326e+03 1.050999999999999934e+00
7.180356799999999566e+03 1.048200000000000021e+00
7.181887099999999919e+03 1.041600000000000081e+00
7.183417400000000271e+03 1.030699999999999950e+00
7.184947600000000421e+03 1.019300000000000095e+00
7.186477899999999863e+03 1.007300000000000084e+00
7.188008200000000215e+03 9.963999999999999524e-01
7.189538499999999658e+03 9.902999999999999581e-01
7.191068699999999808e+03 9.912999999999999590e-01
7.192599000000000160e+03 9.950999999999999845e-01
7.194129299999999603e+03 9.999000000000000110e-01
7.195659499999999753e+03 1.006299999999999972e+00
7.197189800000000105e+03 1.012199999999999989e+00
7.198720099999999547e+03 1.018599999999999950e+00
7.200250399999999900e+03 1.023400000000000087e+00
7.201780600000000049e+03 1.023900000000000032e+00
7.203310900000000402e+03 1.021600000000000064e+00
7.204841199999999844e+03 1.018299999999999983e+00
7.206371500000000196e+03 1.013900000000000023e+00
7.207901700000000346e+03 1.007900000000000018e+00
7.209431999999999789e+03 1.001800000000000024e+00
7.210962300000000141e+03 9.962999999999999634e-01
7.212492500000000291e+03 9.902999999999999581e-01
7.214022799999999734e+03 9.837000000000000188e-01
7.215553100000000086e+03 9.771999999999999575e-01
7.217083400000000438e+03 9.695000000000000284e-01
7.218231099999999969e+03 9.696000000000000174e-01
