energy intensity
6.863801999999999680e+03 5.252466800000000179e-03
6.873771999999999935e+03 7.608637300000000228e-03
6.883761999999999716e+03 6.190432099999999653e-03
6.893792000000000371e+03 4.769061500000000391e-03
6.903851999999999862e+03 4.032434900000000412e-03
6.913832000000000335e+03 3.683639500000000008e-03
6.923832000000000335e+03 2.113571099999999887e-03
6.933761999999999716e+03 1.865592899999999991e-03
6.943822000000000116e+03 9.667130899999999780e-04
6.953811999999999898e+03 6.103733099999999459e-04
6.963822000000000116e+03 8.374321600000000530e-04
6.973872000000000298e+03 6.368029500000000048e-05
6.983832000000000335e+03 -7.931580799999999763e-04
6.993811999999999898e+03 -2.078831000000000168e-03
7.003832000000000335e+03 -2.034484699999999837e-03
7.013771999999999935e+03 -1.831760900000000076e-03
7.023851999999999862e+03 -2.699064399999999853e-03
7.033841999999999643e+03 -2.782630300000000015e-03
7.043862000000000080e+03 -3.258658000000000214e-03
7.053801999999999680e+03 -3.500574900000000093e-03
7.063761999999999716e+03 -3.073364800000000143e-03
7.073761999999999716e+03 -3.126699399999999848e-03
7.083782000000000153e+03 -3.050497899999999978e-03
7.093832000000000335e+03 -1.080052400000000102e-03
7.094782000000000153e+03 -7.792129800000000342e-04
7.095261999999999716e+03 -8.996892500000000428e-04
7.095731999999999971e+03 -4.802222599999999750e-04
7.096202000000000226e+03 -1.002201999999999997e-04
7.096681999999999789e+03 -4.720238199999999933e-04
7.097152000000000044e+03 -5.796597199999999972e-04
7.097631999999999607e+03 -4.419071600000000206e-04
7.098101999999999862e+03 -2.553072900000000070e-04
7.098582000000000335e+03 4.157425699999999771e-04
7.099051999999999680e+03 3.155602500000000252e-04
7.099532000000000153e+03 6.993695099999999460e-04
7.100002000000000407e+03 8.403597600000000485e-04
7.100471999999999753e+03 9.007213800000000515e-04
7.100952000000000226e+03 1.504395400000000087e-03
7.101421999999999571e+03 1.512525000000000024e-03
7.101902000000000044e+03 1.124960799999999992e-03
7.102372000000000298e+03 1.735777700000000002e-03
7.102851999999999862e+03 2.040276199999999790e-03
7.103322000000000116e+03 2.222492899999999830e-03
7.103801999999999680e+03 3.057818199999999976e-03
7.104271999999999935e+03 3.145114300000000172e-03
