energy intensity
7.104108500000000276e+03 5.155914122463510193e-04
7.106169399999999769e+03 1.615591412246339918e-03
7.108230199999999968e+03 7.415591412246369876e-03
7.109706500000000233e+03 1.571559141224630057e-02
7.110291100000000370e+03 3.011559141224630018e-02
7.111060900000000402e+03 5.091559141224639984e-02
7.112351899999999659e+03 6.311559141224630520e-02
7.113318299999999908e+03 6.171559141224639694e-02
7.114412800000000061e+03 6.211559141224629738e-02
7.115801400000000285e+03 7.261559141224629976e-02
7.115958499999999731e+03 9.301559141224639837e-02
7.116759900000000016e+03 1.445155914122459861e-01
7.117504100000000108e+03 2.220155914122459995e-01
7.117847600000000057e+03 2.972155914122460163e-01
7.118284399999999550e+03 3.595155914122459828e-01
7.118820800000000418e+03 4.197155914122460141e-01
7.119221499999999651e+03 4.774155914122459876e-01
7.119736700000000383e+03 5.419155914122459894e-01
7.120251900000000205e+03 5.927155914122459457e-01
7.121110599999999977e+03 6.517155914122459981e-01
7.121797599999999875e+03 7.108155914122460395e-01
7.122369999999999891e+03 7.629155914122459636e-01
7.122942500000000109e+03 8.192155914122459803e-01
7.123400499999999738e+03 8.810155914122459464e-01
7.123702000000000226e+03 9.225155914122460388e-01
7.124133200000000215e+03 9.638155914122460421e-01
7.124379200000000310e+03 1.001015591412250050e+00
7.124774400000000242e+03 1.036115591412249959e+00
7.125056400000000394e+03 1.068715591412249921e+00
7.125507099999999809e+03 1.107915591412250045e+00
7.125959399999999732e+03 1.144515591412250011e+00
7.126778000000000247e+03 1.177015591412249984e+00
7.127313799999999901e+03 1.195915591412249901e+00
7.128495399999999790e+03 1.215615591412249952e+00
7.129571100000000115e+03 1.220315591412250100e+00
7.130556300000000192e+03 1.211615591412249948e+00
7.131602700000000368e+03 1.198715591412250037e+00
7.132617100000000391e+03 1.177315591412249951e+00
7.134677999999999884e+03 1.140915591412249963e+00
7.136738800000000083e+03 1.108315591412250001e+00
7.138799699999999575e+03 1.090215591412249996e+00
7.140860599999999977e+03 1.071715591412250035e+00
7.142921400000000176e+03 1.048715591412249903e+00
7.144982299999999668e+03 1.019615591412250000e+00
7.147043200000000070e+03 9.853155914122460057e-01
7.149104000000000269e+03 9.555155914122459571e-01
7.151164899999999761e+03 9.287155914122460221e-01
7.153225800000000163e+03 9.061155914122459576e-01
7.155286600000000362e+03 8.938155914122459800e-01
7.157347499999999854e+03 8.897155914122459874e-01
7.159408400000000256e+03 8.897155914122459874e-01
7.161469199999999546e+03 8.952155914122460478e-01
7.163530099999999948e+03 9.045155914122460228e-01
7.165590900000000147e+03 9.138155914122459977e-01
7.167651799999999639e+03 9.279155914122459992e-01
7.169712700000000041e+03 9.375155914122460521e-01
7.171773500000000240e+03 9.523155914122459764e-01
7.173834399999999732e+03 9.685155914122459686e-01
7.175895300000000134e+03 9.809155914122460462e-01
7.177956100000000333e+03 9.888155914122459533e-01
7.180016999999999825e+03 9.943155914122460137e-01
7.182077900000000227e+03 1.002215591412249918e+00
7.184138700000000426e+03 1.009115591412250046e+00
7.186199599999999919e+03 1.012215591412249927e+00
7.188260500000000320e+03 1.015415591412250018e+00
7.190321299999999610e+03 1.020515591412249901e+00
7.192382200000000012e+03 1.021915591412249968e+00
7.194443100000000413e+03 1.022015591412249957e+00
7.196503899999999703e+03 1.022015591412249957e+00
7.198564800000000105e+03 1.018215591412249932e+00
7.200625600000000304e+03 1.013815591412249972e+00
7.202686499999999796e+03 1.009715591412249980e+00
7.204747400000000198e+03 1.005315591412250020e+00
7.206808200000000397e+03 1.001215591412250028e+00
7.208869099999999889e+03 9.961155914122460375e-01
7.210930000000000291e+03 9.916155914122459780e-01
7.212990799999999581e+03 9.879155914122470517e-01
7.215051699999999983e+03 9.914155914122460000e-01
7.217112600000000384e+03 9.893155914122460093e-01
7.219173399999999674e+03 9.849155914122460498e-01
7.221234300000000076e+03 9.832155914122460150e-01
7.223295199999999568e+03 9.829155914122460480e-01
7.225355999999999767e+03 9.812155914122460132e-01
7.227416900000000169e+03 9.826155914122459700e-01
7.229477700000000368e+03 9.782155914122460105e-01
7.231538599999999860e+03 9.761155914122460198e-01
7.233599500000000262e+03 9.792155914122460114e-01
7.235660299999999552e+03 9.831155914122460260e-01
7.237721199999999953e+03 9.855155914122459837e-01
7.239782100000000355e+03 9.855155914122459837e-01
7.241842899999999645e+03 9.849155914122460498e-01
7.243903800000000047e+03 9.849155914122460498e-01
7.245964700000000448e+03 9.907155914122459661e-01
7.248025499999999738e+03 9.952155914122460256e-01
7.250086400000000140e+03 9.959155914122469477e-01
7.252147299999999632e+03 9.980155914122460503e-01
7.254208099999999831e+03 1.000115591412249927e+00
7.256269000000000233e+03 1.000115591412249927e+00
7.258329800000000432e+03 1.000215591412249916e+00
7.260390699999999924e+03 1.002315591412249907e+00
7.262451600000000326e+03 1.002315591412249907e+00
7.264512399999999616e+03 1.006415591412249899e+00
7.266573300000000017e+03 1.013715591412249983e+00
7.268634200000000419e+03 1.016415591412249908e+00
7.270694999999999709e+03 1.008915591412250068e+00
7.272755900000000111e+03 1.008615591412250101e+00
7.274816799999999603e+03 1.013115591412250049e+00
7.276877599999999802e+03 1.013515591412250005e+00
7.278938500000000204e+03 1.011415591412250015e+00
7.280999399999999696e+03 1.014215591412249928e+00
7.283060199999999895e+03 1.013515591412250005e+00
7.285121100000000297e+03 1.011215591412250037e+00
7.287181999999999789e+03 1.010915591412250070e+00
7.289242799999999988e+03 1.010915591412250070e+00
7.291303700000000390e+03 1.010915591412250070e+00
7.293021099999999933e+03 1.012515591412249893e+00
