energy intensity
7.102313000000000102e+03 -2.471225374744750059e-03
7.103843200000000252e+03 7.287746252553420345e-04
7.105373499999999694e+03 6.287746252551310033e-04
7.106903800000000047e+03 6.287746252551310033e-04
7.108434000000000196e+03 3.728774625255460058e-03
7.109964299999999639e+03 8.528774625255369432e-03
7.111494599999999991e+03 2.962877462525500064e-02
7.113024900000000343e+03 4.632877462525519796e-02
7.114555099999999584e+03 4.302877462525529773e-02
7.116085399999999936e+03 4.132877462525529760e-02
7.117488199999999779e+03 7.872877462525519621e-02
7.118635900000000220e+03 1.584287746252550089e-01
7.119528500000000349e+03 2.459287746252550033e-01
7.120208599999999933e+03 3.401287746252549815e-01
7.120676199999999881e+03 4.419287746252549831e-01
7.120988599999999678e+03 5.096287746252550210e-01
7.121262800000000425e+03 5.887287746252549692e-01
7.121696399999999812e+03 6.986287746252549669e-01
7.122461500000000342e+03 7.847287746252550322e-01
7.123354199999999764e+03 8.567287746252549852e-01
7.123954399999999623e+03 9.165287746252549494e-01
7.124819499999999607e+03 9.956287746252550086e-01
7.125931599999999889e+03 1.081528774625259981e+00
7.126414700000000266e+03 1.154428774625259946e+00
7.127562399999999798e+03 1.244328774625260037e+00
7.128837700000000041e+03 1.308428774625260083e+00
7.130112900000000081e+03 1.399028774625260096e+00
7.131643200000000434e+03 1.397428774625260051e+00
7.132918399999999565e+03 1.315528774625259967e+00
7.133811099999999897e+03 1.241828774625260090e+00
7.134958800000000338e+03 1.156728774625259915e+00
7.136488999999999578e+03 1.098728774625260085e+00
7.138019299999999930e+03 1.046628774625260050e+00
7.139549600000000282e+03 1.014628774625260021e+00
7.141079800000000432e+03 1.015028774625259977e+00
7.142610099999999875e+03 1.022028774625260095e+00
7.144140400000000227e+03 1.014928774625259988e+00
7.145670699999999670e+03 9.747287746252549789e-01
7.147200899999999820e+03 9.237287746252550447e-01
7.148731200000000172e+03 8.722287746252550544e-01
7.150261499999999614e+03 8.407287746252549709e-01
7.151791799999999967e+03 8.249287746252550457e-01
7.153322000000000116e+03 8.140287746252550249e-01
7.154852299999999559e+03 8.161287746252550157e-01
7.156382599999999911e+03 8.269287746252550475e-01
7.157912800000000061e+03 8.490287746252549450e-01
7.159443100000000413e+03 8.722287746252550544e-01
7.160973399999999856e+03 8.949287746252549969e-01
7.162503700000000208e+03 9.095287746252550543e-01
7.164033900000000358e+03 9.186287746252550512e-01
7.165564199999999801e+03 9.288287746252550381e-01
7.167094500000000153e+03 9.477287746252549550e-01
7.168624700000000303e+03 9.660287746252550489e-01
7.170154999999999745e+03 9.806287746252549953e-01
7.171685300000000097e+03 9.930287746252549619e-01
7.173215600000000450e+03 1.003728774625259890e+00
7.174745799999999690e+03 1.005828774625260102e+00
7.176276100000000042e+03 1.006328774625260047e+00
7.177806400000000394e+03 1.007828774625260104e+00
7.179336599999999635e+03 1.005628774625259902e+00
7.180866899999999987e+03 1.002328774625260044e+00
7.182397200000000339e+03 9.979287746252549773e-01
7.183927499999999782e+03 9.945287746252550187e-01
7.185457699999999932e+03 9.966287746252550095e-01
7.186988000000000284e+03 9.976287746252550104e-01
7.188518299999999726e+03 9.976287746252550104e-01
7.190048600000000079e+03 9.975287746252550214e-01
7.191578800000000228e+03 9.980287746252549663e-01
7.193109099999999671e+03 1.000628774625260009e+00
7.194639400000000023e+03 1.003828774625260101e+00
7.196169600000000173e+03 1.007028774625259970e+00
7.197699899999999616e+03 1.003628774625259901e+00
7.199230199999999968e+03 1.007328774625259937e+00
7.200760500000000320e+03 1.007328774625259937e+00
7.202290699999999561e+03 1.003428774625259923e+00
7.203820999999999913e+03 9.995287746252550232e-01
7.205351300000000265e+03 9.935287746252550178e-01
7.206881500000000415e+03 9.913287746252550381e-01
7.208411799999999857e+03 9.901287746252549482e-01
7.209942100000000210e+03 9.792287746252550384e-01
7.211472399999999652e+03 9.710287746252550534e-01
7.213002599999999802e+03 9.661287746252550379e-01
7.214532900000000154e+03 9.611287746252550335e-01
7.216063199999999597e+03 9.502287746252550127e-01
7.217593399999999747e+03 9.496287746252549677e-01
7.218613599999999678e+03 9.604287746252549995e-01
