energy intensity
7.102568100000000413e+03 5.766463690854320250e-03
7.104222099999999955e+03 7.766463690854320291e-03
7.105876000000000204e+03 9.766463690854319465e-03
7.107529900000000453e+03 1.176646369085430043e-02
7.109183799999999792e+03 1.386646369085429986e-02
7.110838899999999740e+03 2.116646369085420018e-02
7.111637800000000425e+03 2.956646369085439915e-02
7.112498999999999796e+03 5.206646369085429771e-02
7.113162299999999959e+03 6.756646369085420045e-02
7.114156399999999849e+03 7.016646369085430268e-02
7.114895099999999729e+03 6.756646369085420045e-02
7.115808500000000095e+03 6.346646369085419404e-02
7.116844600000000355e+03 6.756646369085420045e-02
7.117469100000000253e+03 9.636646369085430375e-02
7.118731399999999667e+03 1.990664636908540119e-01
7.119487500000000182e+03 2.969664636908539990e-01
7.120016400000000431e+03 4.063664636908539962e-01
7.120730800000000272e+03 5.237664636908540006e-01
7.121718300000000454e+03 6.298664636908539727e-01
7.122839100000000144e+03 7.153664636908539931e-01
7.123821200000000317e+03 7.962664636908539650e-01
7.124668300000000272e+03 8.901664636908539485e-01
7.125655800000000454e+03 9.961664636908540427e-01
7.127054199999999582e+03 1.090766463690850063e+00
7.128716400000000249e+03 1.131066463690850066e+00
7.130372299999999996e+03 1.142466463690849920e+00
7.132024500000000444e+03 1.136466463690849915e+00
7.133672899999999572e+03 1.112966463690850061e+00
7.135321100000000115e+03 1.088766463690850061e+00
7.136969600000000355e+03 1.065966463690849908e+00
7.138619300000000294e+03 1.048566463690850048e+00
7.140269599999999627e+03 1.033766463690849902e+00
7.141919499999999971e+03 1.016966463690849976e+00
7.143569300000000112e+03 1.000266463690850038e+00
7.145218300000000454e+03 9.794664636908539945e-01
7.146866699999999582e+03 9.559664636908540292e-01
7.148514900000000125e+03 9.317664636908540299e-01
7.150164300000000367e+03 9.129664636908539910e-01
7.151814199999999801e+03 8.961664636908539538e-01
7.153465299999999843e+03 8.854664636908540221e-01
7.155117599999999584e+03 8.800664636908539507e-01
7.156770099999999729e+03 8.753664636908540242e-01
7.158424100000000180e+03 8.780664636908539489e-01
7.160078599999999824e+03 8.827664636908539864e-01
7.161733299999999872e+03 8.881664636908539467e-01
7.163388200000000325e+03 8.948664636908539860e-01
7.165043399999999565e+03 9.029664636908539821e-01
7.166698599999999715e+03 9.109664636908539892e-01
7.168354000000000269e+03 9.196664636908540302e-01
7.170009500000000116e+03 9.290664636908539942e-01
7.171665200000000368e+03 9.391664636908539920e-01
7.173321399999999812e+03 9.518664636908540366e-01
7.174977100000000064e+03 9.619664636908540345e-01
7.176632400000000416e+03 9.706664636908539645e-01
7.178286799999999857e+03 9.747664636908539570e-01
7.179941300000000410e+03 9.794664636908539945e-01
7.181595900000000256e+03 9.847664636908539659e-01
7.183250100000000202e+03 9.881664636908540356e-01
7.184904499999999643e+03 9.921664636908540391e-01
7.186558799999999792e+03 9.961664636908540427e-01
7.188212900000000445e+03 9.988664636908539673e-01
7.189866600000000290e+03 1.000266463690850038e+00
7.191520099999999729e+03 1.000266463690850038e+00
7.193173600000000079e+03 1.000266463690850038e+00
7.194827100000000428e+03 1.000266463690850038e+00
7.196480499999999665e+03 1.000266463690850038e+00
7.198133700000000317e+03 9.988664636908539673e-01
7.199786900000000060e+03 9.975664636908539995e-01
7.201440099999999802e+03 9.961664636908540427e-01
7.203092999999999847e+03 9.934664636908540070e-01
7.204746199999999590e+03 9.921664636908540391e-01
7.206398900000000140e+03 9.888664636908539585e-01
7.208052300000000287e+03 9.881664636908540356e-01
7.209705700000000434e+03 9.881664636908540356e-01
7.211359199999999873e+03 9.881664636908540356e-01
7.213012499999999818e+03 9.874664636908540016e-01
7.214665299999999661e+03 9.841664636908540320e-01
7.216318800000000010e+03 9.841664636908540320e-01
7.217971700000000055e+03 9.814664636908539963e-01
7.219625399999999900e+03 9.825664636908539862e-01
7.221278299999999945e+03 9.800664636908540395e-01
7.224585299999999734e+03 9.800664636908540395e-01
7.226238800000000083e+03 9.800664636908540395e-01
7.227341099999999642e+03 9.800664636908540395e-01
