energy intensity
7.101802899999999681e+03 3.622428832174940196e-04
7.103333099999999831e+03 1.362242883217379928e-03
7.104863400000000183e+03 1.262242883217400049e-03
7.106393699999999626e+03 4.462242883217490408e-03
7.107923999999999978e+03 5.462242883217380274e-03
7.109454200000000128e+03 9.162242883217409928e-03
7.110984499999999571e+03 1.776224288321739953e-02
7.112514799999999923e+03 3.456224288321749910e-02
7.114045000000000073e+03 3.936224288321740067e-02
7.115575300000000425e+03 4.626224288321759831e-02
7.116978100000000268e+03 8.266224288321749603e-02
7.117998199999999997e+03 1.512622428832179899e-01
7.118763399999999820e+03 2.356622428832179927e-01
7.119188500000000204e+03 3.212622428832169752e-01
7.119655999999999949e+03 4.214622428832179857e-01
7.120123599999999897e+03 5.259622428832170238e-01
7.120803700000000390e+03 6.374622428832169563e-01
7.121696399999999812e+03 7.138622428832169797e-01
7.122585600000000341e+03 7.827622428832180512e-01
7.122998499999999694e+03 8.636622428832180232e-01
7.123563299999999799e+03 9.737622428832169996e-01
7.123990999999999985e+03 1.096662242883220006e+00
7.124459399999999732e+03 1.189762242883219967e+00
7.124799500000000080e+03 1.297062242883219918e+00
7.125085699999999633e+03 1.391862242883219913e+00
7.125741500000000087e+03 1.499662242883220031e+00
7.126487600000000384e+03 1.565262242883219912e+00
7.128072500000000218e+03 1.546062242883220028e+00
7.129220199999999750e+03 1.461462242883220020e+00
7.129857899999999972e+03 1.379662242883219925e+00
7.130325399999999718e+03 1.295662242883220072e+00
7.130877999999999702e+03 1.226862242883220100e+00
7.131643200000000434e+03 1.139862242883219912e+00
7.132918399999999565e+03 1.069162242883219927e+00
7.134448699999999917e+03 1.020362242883219972e+00
7.135978900000000067e+03 9.823622428832170517e-01
7.137509200000000419e+03 9.795622428832180262e-01
7.139039499999999862e+03 1.000062242883219987e+00
7.140569800000000214e+03 1.002662242883219923e+00
7.142100000000000364e+03 9.787622428832180033e-01
7.143630299999999806e+03 9.510622428832169462e-01
7.145160600000000159e+03 9.190622428832170288e-01
7.146690800000000309e+03 8.832622428832169748e-01
7.148221099999999751e+03 8.490622428832179658e-01
7.149751400000000103e+03 8.294622428832170158e-01
7.151281699999999546e+03 8.212622428832170307e-01
7.152811899999999696e+03 8.287622428832169819e-01
7.154342200000000048e+03 8.530622428832179693e-01
7.155872500000000400e+03 8.822622428832169739e-01
7.157402699999999641e+03 9.119622428832170336e-01
7.158932999999999993e+03 9.443622428832170179e-01
7.160463300000000345e+03 9.768622428832179905e-01
7.161993599999999788e+03 1.014162242883219989e+00
7.163523799999999937e+03 1.048162242883220019e+00
7.165054100000000290e+03 1.076262242883220033e+00
7.166584399999999732e+03 1.096262242883220051e+00
7.168114700000000084e+03 1.107562242883219916e+00
7.169644900000000234e+03 1.109662242883219907e+00
7.171175199999999677e+03 1.107362242883219938e+00
7.172705500000000029e+03 1.098662242883220008e+00
7.174235700000000179e+03 1.088762242883219988e+00
7.175765999999999622e+03 1.076262242883220033e+00
7.177296299999999974e+03 1.060462242883219997e+00
7.178826600000000326e+03 1.047962242883220041e+00
7.180356799999999566e+03 1.037562242883220076e+00
7.181887099999999919e+03 1.024562242883219954e+00
7.183417400000000271e+03 1.014162242883219989e+00
7.184947600000000421e+03 1.005962242883220004e+00
7.186477899999999863e+03 9.988622428832170108e-01
7.188008200000000215e+03 9.917622428832180148e-01
7.189538499999999658e+03 9.835622428832180297e-01
7.191068699999999808e+03 9.758622428832169904e-01
7.192599000000000160e+03 9.703622428832170410e-01
7.194129299999999603e+03 9.654622428832180248e-01
7.195659499999999753e+03 9.621622428832169449e-01
7.197189800000000105e+03 9.620622428832179551e-01
7.198720099999999547e+03 9.619622428832169669e-01
7.200250399999999900e+03 9.618622428832179772e-01
7.201780600000000049e+03 9.650622428832179578e-01
7.203310900000000402e+03 9.703622428832170410e-01
7.204841199999999844e+03 9.757622428832180006e-01
7.206371500000000196e+03 9.827622428832180068e-01
7.207901700000000346e+03 9.891622428832169689e-01
7.209431999999999789e+03 9.960622428832169861e-01
7.210962300000000141e+03 9.998622428832170117e-01
7.212492500000000291e+03 1.005162242883220092e+00
7.214022799999999734e+03 1.010562242883219941e+00
7.215553100000000086e+03 1.013162242883220099e+00
7.217083400000000438e+03 1.013062242883220110e+00
7.217975999999999658e+03 1.013062242883220110e+00
