energy intensity
7.102823000000000320e+03 -9.373028591495409989e-04
7.104353299999999763e+03 -1.037302859149530094e-03
7.105883600000000115e+03 2.162697140850559831e-03
7.107413899999999558e+03 4.262697140850550161e-03
7.108944099999999708e+03 6.862697140850490193e-03
7.110474400000000060e+03 1.436269714085059920e-02
7.112004700000000412e+03 3.106269714085050163e-02
7.113534999999999854e+03 3.536269714085050336e-02
7.115065200000000004e+03 4.066269714085050252e-02
7.116595500000000357e+03 6.936269714085049887e-02
7.117870700000000397e+03 1.372626971408509866e-01
7.118763399999999820e+03 2.181626971408509863e-01
7.119528500000000349e+03 3.134626971408500107e-01
7.120166100000000370e+03 4.076626971408510158e-01
7.120803700000000390e+03 5.026626971408509892e-01
7.121228799999999865e+03 5.993626971408509974e-01
7.121696399999999812e+03 7.148626971408500452e-01
7.122206500000000233e+03 8.576626971408509714e-01
7.122461500000000342e+03 9.827626971408509604e-01
7.122759100000000217e+03 1.078062697140850013e+00
7.123227499999999964e+03 1.236262697140849909e+00
7.123429299999999785e+03 1.345462697140850095e+00
7.123964899999999943e+03 1.468262697140849893e+00
7.124501900000000205e+03 1.550362697140849955e+00
7.125904700000000048e+03 1.548062697140849986e+00
7.126924799999999777e+03 1.476562697140850089e+00
7.127689999999999600e+03 1.382262697140850038e+00
7.128327599999999620e+03 1.287962697140849988e+00
7.128965199999999641e+03 1.199162697140849998e+00
7.129857899999999972e+03 1.116462697140850002e+00
7.131133100000000013e+03 1.039262697140850067e+00
7.132663400000000365e+03 1.052162697140849978e+00
7.133938600000000406e+03 1.139062697140849956e+00
7.135213800000000447e+03 1.213962697140849922e+00
7.136744099999999889e+03 1.243162697140850037e+00
7.138274300000000039e+03 1.211162697140850009e+00
7.139549600000000282e+03 1.127362697140849912e+00
7.140569800000000214e+03 1.045262697140850072e+00
7.141589899999999943e+03 9.745626971408509753e-01
7.142737600000000384e+03 9.031626971408509563e-01
7.144012899999999718e+03 8.341626971408510061e-01
7.145415600000000268e+03 7.715626971408500179e-01
7.146945899999999710e+03 7.302626971408510137e-01
7.148476200000000063e+03 7.161626971408510123e-01
7.150006400000000212e+03 7.181626971408510141e-01
7.151536699999999655e+03 7.338626971408509503e-01
7.153067000000000007e+03 7.559626971408509588e-01
7.154597300000000359e+03 7.829626971408509828e-01
7.156127499999999600e+03 8.235626971408509522e-01
7.157657799999999952e+03 8.781626971408500459e-01
7.159188100000000304e+03 9.322626971408509711e-01
7.160718300000000454e+03 9.711626971408510167e-01
7.162248599999999897e+03 9.911626971408500353e-01
7.163778900000000249e+03 1.005662697140849993e+00
7.165309199999999691e+03 1.025162697140850065e+00
7.166839399999999841e+03 1.045662697140850028e+00
7.168369700000000194e+03 1.066662697140849936e+00
7.169899999999999636e+03 1.081262697140850104e+00
7.171430199999999786e+03 1.091962697140850036e+00
7.172960500000000138e+03 1.089162697140849900e+00
7.174490799999999581e+03 1.072862697140849919e+00
7.176021099999999933e+03 1.046762697140849907e+00
7.177551300000000083e+03 1.026662697140849900e+00
7.179081600000000435e+03 1.010362697140849919e+00
7.180611899999999878e+03 9.989626971408509526e-01
7.182142100000000028e+03 9.955626971408509940e-01
7.183672400000000380e+03 9.955626971408509940e-01
7.185202699999999822e+03 9.959626971408509499e-01
7.186733000000000175e+03 9.980626971408510517e-01
7.188263200000000325e+03 9.963626971408510169e-01
7.189793499999999767e+03 9.935626971408509922e-01
7.191323800000000119e+03 9.870626971408500427e-01
7.192854099999999562e+03 9.782626971408510119e-01
7.194384299999999712e+03 9.641626971408510105e-01
7.195914600000000064e+03 9.472626971408509844e-01
7.197444900000000416e+03 9.325626971408500498e-01
7.198975099999999657e+03 9.227626971408500189e-01
7.200505400000000009e+03 9.172626971408509577e-01
7.202035700000000361e+03 9.177626971408510137e-01
7.203565999999999804e+03 9.219626971408509952e-01
7.205096199999999953e+03 9.283626971408509565e-01
7.206626500000000306e+03 9.342626971408509728e-01
7.208156799999999748e+03 9.363626971408509636e-01
7.209686999999999898e+03 9.357626971408510297e-01
7.211217300000000250e+03 9.340626971408509949e-01
7.212747599999999693e+03 9.328626971408510160e-01
7.214277900000000045e+03 9.328626971408510160e-01
7.215808100000000195e+03 9.359626971408510077e-01
7.217338399999999638e+03 9.407626971408500349e-01
7.218358599999999569e+03 9.472626971408509844e-01
