energy intensity
7.100782699999999750e+03 -2.073023720672340119e-04
7.102313000000000102e+03 2.926976279329329927e-04
7.103843200000000252e+03 2.892697627933090137e-03
7.105373499999999694e+03 4.492697627932910019e-03
7.106903800000000047e+03 6.492697627932689751e-03
7.108434000000000196e+03 9.192697627933059390e-03
7.109964299999999639e+03 1.559269762793280036e-02
7.111494599999999991e+03 5.289269762793290253e-02
7.112091300000000047e+03 7.879269762793300602e-02
7.112547499999999673e+03 1.020926976279329934e-01
7.113024900000000343e+03 9.289269762793299356e-02
7.114555099999999584e+03 6.199269762793299665e-02
7.116085399999999936e+03 5.859269762793300335e-02
7.117488199999999779e+03 1.041926976279329981e-01
7.118508300000000418e+03 1.770926976279330045e-01
7.119188500000000204e+03 2.680926976279329743e-01
7.119613500000000386e+03 3.601926976279329895e-01
7.119953599999999824e+03 4.695926976279329867e-01
7.120166100000000370e+03 5.745926976279329690e-01
7.120463700000000244e+03 6.693926976279329644e-01
7.120718700000000354e+03 7.717926976279330109e-01
7.120973799999999756e+03 8.930926976279329743e-01
7.121442799999999806e+03 1.011292697627929948e+00
7.121901100000000042e+03 1.089992697627929941e+00
7.122435999999999694e+03 1.059392697627929980e+00
7.123041799999999967e+03 1.020192697627930078e+00
7.124219900000000052e+03 1.000192697627930061e+00
7.124638799999999719e+03 1.037492697627929950e+00
7.125293899999999667e+03 1.082392697627929889e+00
7.126463899999999740e+03 1.072292697627929892e+00
7.126924799999999777e+03 1.036392697627930071e+00
7.128327599999999620e+03 9.966926976279329997e-01
7.129475300000000061e+03 1.060592697627930070e+00
7.130240399999999681e+03 1.143892697627930000e+00
7.131388100000000122e+03 1.228392697627930019e+00
7.132918399999999565e+03 1.238092697627930061e+00
7.134448699999999917e+03 1.167592697627930054e+00
7.135978900000000067e+03 1.121492697627930024e+00
7.137509200000000419e+03 1.055892697627929921e+00
7.139039499999999862e+03 1.018892697627930000e+00
7.140569800000000214e+03 1.043792697627929922e+00
7.142100000000000364e+03 1.069692697627929956e+00
7.143630299999999806e+03 1.072292697627929892e+00
7.145160600000000159e+03 1.037092697627929994e+00
7.146690800000000309e+03 9.762926976279330260e-01
7.148221099999999751e+03 9.128926976279330141e-01
7.149751400000000103e+03 8.623926976279330248e-01
7.151281699999999546e+03 8.195926976279329645e-01
7.152811899999999696e+03 7.923926976279329626e-01
7.154342200000000048e+03 7.819926976279329978e-01
7.155872500000000400e+03 7.857926976279330233e-01
7.157402699999999641e+03 8.105926976279329566e-01
7.158932999999999993e+03 8.483926976279330123e-01
7.160463300000000345e+03 8.802926976279330518e-01
7.161993599999999788e+03 9.062926976279329638e-01
7.163523799999999937e+03 9.256926976279330477e-01
7.165054100000000290e+03 9.374926976279329693e-01
7.166584399999999732e+03 9.438926976279330416e-01
7.168114700000000084e+03 9.497926976279329470e-01
7.169644900000000234e+03 9.578926976279330541e-01
7.171175199999999677e+03 9.707926976279329656e-01
7.172705500000000029e+03 9.788926976279329617e-01
7.174235700000000179e+03 9.836926976279329882e-01
7.175765999999999622e+03 9.873926976279330248e-01
7.177296299999999974e+03 9.894926976279330155e-01
7.178826600000000326e+03 9.877926976279329807e-01
7.180356799999999566e+03 9.865926976279330018e-01
7.181887099999999919e+03 9.886926976279329926e-01
7.183417400000000271e+03 9.950926976279329539e-01
7.184947600000000421e+03 9.998926976279329804e-01
7.186477899999999863e+03 1.003592697627929908e+00
7.188008200000000215e+03 1.006292697627930055e+00
7.189538499999999658e+03 1.006192697627930066e+00
7.191068699999999808e+03 9.985926976279330125e-01
7.192599000000000160e+03 9.897926976279329825e-01
7.194129299999999603e+03 9.810926976279330525e-01
7.195659499999999753e+03 9.771926976279330379e-01
7.197189800000000105e+03 9.770926976279330489e-01
7.198720099999999547e+03 9.770926976279330489e-01
7.200250399999999900e+03 9.785926976279329947e-01
7.201780600000000049e+03 9.801926976279330406e-01
7.203310900000000402e+03 9.800926976279330516e-01
7.204841199999999844e+03 9.799926976279329516e-01
7.206371500000000196e+03 9.798926976279329626e-01
7.207901700000000346e+03 9.798926976279329626e-01
7.209431999999999789e+03 9.797926976279329736e-01
7.210962300000000141e+03 9.774926976279330049e-01
7.212492500000000291e+03 9.730926976279330454e-01
7.214022799999999734e+03 9.697926976279329647e-01
7.215553100000000086e+03 9.686926976279329748e-01
7.217083400000000438e+03 9.647926976279329603e-01
7.218613599999999678e+03 9.576926976279329651e-01
7.219761300000000119e+03 9.575926976279329761e-01
