energy intensity
7.100782699999999750e+03 -6.329103472940979767e-04
7.102313000000000102e+03 9.670896527058920169e-04
7.103843200000000252e+03 2.467089652705890205e-03
7.105373499999999694e+03 2.967089652705890215e-03
7.106903800000000047e+03 3.467089652705889792e-03
7.108434000000000196e+03 4.967089652705899798e-03
7.109964299999999639e+03 8.167089652705879568e-03
7.111494599999999991e+03 1.186708965270590055e-02
7.113024900000000343e+03 3.406708965270589806e-02
7.113688199999999597e+03 5.856708965270589901e-02
7.114555099999999584e+03 6.756708965270590006e-02
7.116085399999999936e+03 4.306708965270589912e-02
7.117615700000000288e+03 3.436708965270589972e-02
7.119145900000000438e+03 4.126708965270590307e-02
7.120676199999999881e+03 6.726708965270590534e-02
7.121823900000000322e+03 1.186670896527060037e-01
7.122461500000000342e+03 1.852670896527059963e-01
7.122971599999999853e+03 2.583670896527059946e-01
7.123524199999999837e+03 3.395670896527059890e-01
7.123991799999999785e+03 4.272670896527059892e-01
7.124629399999999805e+03 5.073670896527060492e-01
7.125394599999999627e+03 5.907670896527059679e-01
7.126159700000000157e+03 6.762670896527059883e-01
7.126797300000000178e+03 7.537670896527060016e-01
7.127307399999999689e+03 8.219670896527060400e-01
7.127817500000000109e+03 8.982670896527059634e-01
7.128327599999999620e+03 9.746670896527059869e-01
7.128965199999999641e+03 1.059667089652710059e+00
7.130112900000000081e+03 1.150567089652710040e+00
7.131643200000000434e+03 1.205267089652710011e+00
7.132790899999999965e+03 1.284767089652709915e+00
7.133555999999999585e+03 1.378967089652709976e+00
7.134703700000000026e+03 1.480767089652710089e+00
7.135589399999999841e+03 1.499367089652710039e+00
7.136234000000000378e+03 1.473667089652709983e+00
7.137636700000000019e+03 1.409367089652709959e+00
7.138912000000000262e+03 1.339067089652709930e+00
7.140314699999999903e+03 1.272467089652709937e+00
7.141845000000000255e+03 1.218267089652709911e+00
7.143375299999999697e+03 1.169967089652709902e+00
7.144905499999999847e+03 1.130967089652709978e+00
7.146435800000000199e+03 1.099467089652709895e+00
7.147966099999999642e+03 1.064667089652709953e+00
7.149496299999999792e+03 1.020767089652709902e+00
7.151026600000000144e+03 9.746670896527059869e-01
7.152556899999999587e+03 9.306670896527059478e-01
7.154087199999999939e+03 8.915670896527060352e-01
7.155617400000000089e+03 8.671670896527059469e-01
7.157147700000000441e+03 8.459670896527059503e-01
7.158677999999999884e+03 8.361670896527060304e-01
7.160208200000000033e+03 8.317670896527059599e-01
7.161738500000000386e+03 8.278670896527059453e-01
7.163268799999999828e+03 8.348670896527059515e-01
7.164799100000000180e+03 8.444670896527060044e-01
7.166329300000000330e+03 8.438670896527059595e-01
7.167859599999999773e+03 8.584670896527060169e-01
7.169389900000000125e+03 8.735670896527060192e-01
7.170920199999999568e+03 9.021670896527059780e-01
7.172450399999999718e+03 9.291670896527060020e-01
7.173980700000000070e+03 9.540670896527060352e-01
7.175511000000000422e+03 9.745670896527059979e-01
7.177041199999999662e+03 9.939670896527059707e-01
7.178571500000000015e+03 9.933670896527060368e-01
7.180101800000000367e+03 9.927670896527059918e-01
7.181632099999999809e+03 1.004067089652709965e+00
7.183162299999999959e+03 1.003367089652710042e+00
7.184692600000000311e+03 1.006567089652709912e+00
7.186222899999999754e+03 1.016767089652709899e+00
7.187753099999999904e+03 1.023267089652710071e+00
7.189283400000000256e+03 1.029067089652710099e+00
7.190813699999999699e+03 1.035567089652710049e+00
7.192344000000000051e+03 1.044667089652709935e+00
7.193874200000000201e+03 1.053767089652710043e+00
7.195404499999999643e+03 1.053167089652710109e+00
7.196934799999999996e+03 1.054167089652709999e+00
7.198465000000000146e+03 1.061667089652710061e+00
7.199995299999999588e+03 1.062167089652710006e+00
7.201525599999999940e+03 1.059367089652710092e+00
7.203055900000000292e+03 1.054967089652709911e+00
7.204586100000000442e+03 1.047867089652710026e+00
7.206116399999999885e+03 1.038567089652709940e+00
7.207646700000000237e+03 1.027167089652710086e+00
7.209176999999999680e+03 1.016767089652709899e+00
7.210707199999999830e+03 1.009667089652710015e+00
7.212237500000000182e+03 1.005267089652710055e+00
7.213767799999999625e+03 9.997670896527059980e-01
7.215297999999999774e+03 9.915670896527060130e-01
7.216828300000000127e+03 9.855670896527060076e-01
7.217848500000000058e+03 9.800670896527059472e-01
